,PMID,topic_number,topic_probs,topic_keywords
0,11597317,1,0.9857100248336792,"[('mouse', 0.016), ('gene', 0.011), ('cell', 0.01), ('protein', 0.01), ('expression', 0.009), ('development', 0.007), ('Abstract', 0.007), ('phenotype', 0.006), ('analysis', 0.005), ('embryo', 0.005)]"
1,11604102,5,0.9930209517478943,"[('mouse', 0.027), ('cell', 0.024), ('gene', 0.015), ('receptor', 0.013), ('protein', 0.01), ('olfactory', 0.008), ('A7', 0.007), ('expression', 0.007), ('role', 0.006), ('level', 0.006)]"
2,11897010,9,0.9937911033630371,"[('protein', 0.016), ('gene', 0.015), ('mouse', 0.014), ('function', 0.012), ('cell', 0.01), ('RanBP2', 0.008), ('model', 0.007), ('role', 0.007), ('development', 0.007), ('acid', 0.006)]"
3,12079497,1,0.994913637638092,"[('mouse', 0.016), ('gene', 0.011), ('cell', 0.01), ('protein', 0.01), ('expression', 0.009), ('development', 0.007), ('Abstract', 0.007), ('phenotype', 0.006), ('analysis', 0.005), ('embryo', 0.005)]"
4,12585968,2,0.9948265552520752,"[('mouse', 0.015), ('gene', 0.014), ('mutant', 0.012), ('locus', 0.01), ('cell', 0.009), ('arthritis', 0.007), ('kidney', 0.007), ('Abstract', 0.006), ('development', 0.006), ('expression', 0.006)]"
5,12925238,5,0.9945440888404846,"[('mouse', 0.027), ('cell', 0.024), ('gene', 0.015), ('receptor', 0.013), ('protein', 0.01), ('olfactory', 0.008), ('A7', 0.007), ('expression', 0.007), ('role', 0.006), ('level', 0.006)]"
6,14609438,0,0.9929114580154419,"[('cell', 0.015), ('individual', 0.011), ('factor', 0.011), ('gene', 0.011), ('transcription', 0.01), ('expression', 0.009), ('muscle', 0.008), ('differentiation', 0.008), ('slow', 0.008), ('antioxidant', 0.007)]"
7,14611657,5,0.9961362481117249,"[('mouse', 0.027), ('cell', 0.024), ('gene', 0.015), ('receptor', 0.013), ('protein', 0.01), ('olfactory', 0.008), ('A7', 0.007), ('expression', 0.007), ('role', 0.006), ('level', 0.006)]"
8,14624252,0,0.9915869235992432,"[('cell', 0.015), ('individual', 0.011), ('factor', 0.011), ('gene', 0.011), ('transcription', 0.01), ('expression', 0.009), ('muscle', 0.008), ('differentiation', 0.008), ('slow', 0.008), ('antioxidant', 0.007)]"
9,14675480,9,0.9896520972251892,"[('protein', 0.016), ('gene', 0.015), ('mouse', 0.014), ('function', 0.012), ('cell', 0.01), ('RanBP2', 0.008), ('model', 0.007), ('role', 0.007), ('development', 0.007), ('acid', 0.006)]"
10,14691534,4,0.9918903708457947,"[('mouse', 0.02), ('expression', 0.02), ('gene', 0.019), ('Pten', 0.007), ('Tbx15', 0.007), ('system', 0.007), ('sterol', 0.006), ('demonstrate', 0.006), ('mutation', 0.006), ('dorsoventral', 0.006)]"
11,14723793,5,0.9946412444114685,"[('mouse', 0.027), ('cell', 0.024), ('gene', 0.015), ('receptor', 0.013), ('protein', 0.01), ('olfactory', 0.008), ('A7', 0.007), ('expression', 0.007), ('role', 0.006), ('level', 0.006)]"
12,14737183,4,0.9949142336845398,"[('mouse', 0.02), ('expression', 0.02), ('gene', 0.019), ('Pten', 0.007), ('Tbx15', 0.007), ('system', 0.007), ('sterol', 0.006), ('demonstrate', 0.006), ('mutation', 0.006), ('dorsoventral', 0.006)]"
13,15005800,1,0.9951856732368469,"[('mouse', 0.016), ('gene', 0.011), ('cell', 0.01), ('protein', 0.01), ('expression', 0.009), ('development', 0.007), ('Abstract', 0.007), ('phenotype', 0.006), ('analysis', 0.005), ('embryo', 0.005)]"
14,15040800,4,0.5587803721427917,"[('mouse', 0.02), ('expression', 0.02), ('gene', 0.019), ('Pten', 0.007), ('Tbx15', 0.007), ('system', 0.007), ('sterol', 0.006), ('demonstrate', 0.006), ('mutation', 0.006), ('dorsoventral', 0.006)]"
15,15061865,5,0.9955867528915405,"[('mouse', 0.027), ('cell', 0.024), ('gene', 0.015), ('receptor', 0.013), ('protein', 0.01), ('olfactory', 0.008), ('A7', 0.007), ('expression', 0.007), ('role', 0.006), ('level', 0.006)]"
16,15070402,7,0.9950810074806213,"[('cell', 0.015), ('mouse', 0.011), ('heterochromatin', 0.01), ('microtubule', 0.01), ('bone', 0.01), ('Mid1', 0.009), ('embryonic', 0.009), ('channel', 0.008), ('embryo', 0.008), ('secretion', 0.006)]"
17,15207008,9,0.9945768713951111,"[('protein', 0.016), ('gene', 0.015), ('mouse', 0.014), ('function', 0.012), ('cell', 0.01), ('RanBP2', 0.008), ('model', 0.007), ('role', 0.007), ('development', 0.007), ('acid', 0.006)]"
18,15238161,0,0.9955875277519226,"[('cell', 0.015), ('individual', 0.011), ('factor', 0.011), ('gene', 0.011), ('transcription', 0.01), ('expression', 0.009), ('muscle', 0.008), ('differentiation', 0.008), ('slow', 0.008), ('antioxidant', 0.007)]"
19,15314655,0,0.9935236573219299,"[('cell', 0.015), ('individual', 0.011), ('factor', 0.011), ('gene', 0.011), ('transcription', 0.01), ('expression', 0.009), ('muscle', 0.008), ('differentiation', 0.008), ('slow', 0.008), ('antioxidant', 0.007)]"
20,15328533,4,0.9902153015136719,"[('mouse', 0.02), ('expression', 0.02), ('gene', 0.019), ('Pten', 0.007), ('Tbx15', 0.007), ('system', 0.007), ('sterol', 0.006), ('demonstrate', 0.006), ('mutation', 0.006), ('dorsoventral', 0.006)]"
21,15328538,4,0.023139314725995064,"[('mouse', 0.02), ('expression', 0.02), ('gene', 0.019), ('Pten', 0.007), ('Tbx15', 0.007), ('system', 0.007), ('sterol', 0.006), ('demonstrate', 0.006), ('mutation', 0.006), ('dorsoventral', 0.006)]"
22,15345036,9,0.9936602115631104,"[('protein', 0.016), ('gene', 0.015), ('mouse', 0.014), ('function', 0.012), ('cell', 0.01), ('RanBP2', 0.008), ('model', 0.007), ('role', 0.007), ('development', 0.007), ('acid', 0.006)]"
23,15492776,5,0.99531090259552,"[('mouse', 0.027), ('cell', 0.024), ('gene', 0.015), ('receptor', 0.013), ('protein', 0.01), ('olfactory', 0.008), ('A7', 0.007), ('expression', 0.007), ('role', 0.006), ('level', 0.006)]"
24,15560850,1,0.23073254525661469,"[('mouse', 0.016), ('gene', 0.011), ('cell', 0.01), ('protein', 0.01), ('expression', 0.009), ('development', 0.007), ('Abstract', 0.007), ('phenotype', 0.006), ('analysis', 0.005), ('embryo', 0.005)]"
25,15588329,5,0.9934757351875305,"[('mouse', 0.027), ('cell', 0.024), ('gene', 0.015), ('receptor', 0.013), ('protein', 0.01), ('olfactory', 0.008), ('A7', 0.007), ('expression', 0.007), ('role', 0.006), ('level', 0.006)]"
26,15619330,5,0.9940765500068665,"[('mouse', 0.027), ('cell', 0.024), ('gene', 0.015), ('receptor', 0.013), ('protein', 0.01), ('olfactory', 0.008), ('A7', 0.007), ('expression', 0.007), ('role', 0.006), ('level', 0.006)]"
27,15630473,1,0.9921023845672607,"[('mouse', 0.016), ('gene', 0.011), ('cell', 0.01), ('protein', 0.01), ('expression', 0.009), ('development', 0.007), ('Abstract', 0.007), ('phenotype', 0.006), ('analysis', 0.005), ('embryo', 0.005)]"
28,15760270,5,0.9930737614631653,"[('mouse', 0.027), ('cell', 0.024), ('gene', 0.015), ('receptor', 0.013), ('protein', 0.01), ('olfactory', 0.008), ('A7', 0.007), ('expression', 0.007), ('role', 0.006), ('level', 0.006)]"
29,15784609,1,0.8389479517936707,"[('mouse', 0.016), ('gene', 0.011), ('cell', 0.01), ('protein', 0.01), ('expression', 0.009), ('development', 0.007), ('Abstract', 0.007), ('phenotype', 0.006), ('analysis', 0.005), ('embryo', 0.005)]"
30,15819996,5,0.9946415424346924,"[('mouse', 0.027), ('cell', 0.024), ('gene', 0.015), ('receptor', 0.013), ('protein', 0.01), ('olfactory', 0.008), ('A7', 0.007), ('expression', 0.007), ('role', 0.006), ('level', 0.006)]"
31,15836427,1,0.9891530275344849,"[('mouse', 0.016), ('gene', 0.011), ('cell', 0.01), ('protein', 0.01), ('expression', 0.009), ('development', 0.007), ('Abstract', 0.007), ('phenotype', 0.006), ('analysis', 0.005), ('embryo', 0.005)]"
32,15850489,8,0.9959084987640381,"[('mouse', 0.033), ('γ2', 0.021), ('gene', 0.009), ('behavior', 0.009), ('ADAM11', 0.008), ('cell', 0.007), ('subunit', 0.007), ('benzodiazepine', 0.007), ('reduced', 0.007), ('normal', 0.007)]"
33,15876356,2,0.9905235767364502,"[('mouse', 0.015), ('gene', 0.014), ('mutant', 0.012), ('locus', 0.01), ('cell', 0.009), ('arthritis', 0.007), ('kidney', 0.007), ('Abstract', 0.006), ('development', 0.006), ('expression', 0.006)]"
34,15882093,5,0.9950534701347351,"[('mouse', 0.027), ('cell', 0.024), ('gene', 0.015), ('receptor', 0.013), ('protein', 0.01), ('olfactory', 0.008), ('A7', 0.007), ('expression', 0.007), ('role', 0.006), ('level', 0.006)]"
35,15921521,2,0.026698067784309387,"[('mouse', 0.015), ('gene', 0.014), ('mutant', 0.012), ('locus', 0.01), ('cell', 0.009), ('arthritis', 0.007), ('kidney', 0.007), ('Abstract', 0.006), ('development', 0.006), ('expression', 0.006)]"
36,15938754,2,0.9945772290229797,"[('mouse', 0.015), ('gene', 0.014), ('mutant', 0.012), ('locus', 0.01), ('cell', 0.009), ('arthritis', 0.007), ('kidney', 0.007), ('Abstract', 0.006), ('development', 0.006), ('expression', 0.006)]"
37,16026622,1,0.9957737326622009,"[('mouse', 0.016), ('gene', 0.011), ('cell', 0.01), ('protein', 0.01), ('expression', 0.009), ('development', 0.007), ('Abstract', 0.007), ('phenotype', 0.006), ('analysis', 0.005), ('embryo', 0.005)]"
38,16027110,5,0.9926209449768066,"[('mouse', 0.027), ('cell', 0.024), ('gene', 0.015), ('receptor', 0.013), ('protein', 0.01), ('olfactory', 0.008), ('A7', 0.007), ('expression', 0.007), ('role', 0.006), ('level', 0.006)]"
39,16103912,1,0.9926808476448059,"[('mouse', 0.016), ('gene', 0.011), ('cell', 0.01), ('protein', 0.01), ('expression', 0.009), ('development', 0.007), ('Abstract', 0.007), ('phenotype', 0.006), ('analysis', 0.005), ('embryo', 0.005)]"
40,16109169,1,0.995133638381958,"[('mouse', 0.016), ('gene', 0.011), ('cell', 0.01), ('protein', 0.01), ('expression', 0.009), ('development', 0.007), ('Abstract', 0.007), ('phenotype', 0.006), ('analysis', 0.005), ('embryo', 0.005)]"
41,16110338,1,0.9937477707862854,"[('mouse', 0.016), ('gene', 0.011), ('cell', 0.01), ('protein', 0.01), ('expression', 0.009), ('development', 0.007), ('Abstract', 0.007), ('phenotype', 0.006), ('analysis', 0.005), ('embryo', 0.005)]"
42,16121255,5,0.9927390813827515,"[('mouse', 0.027), ('cell', 0.024), ('gene', 0.015), ('receptor', 0.013), ('protein', 0.01), ('olfactory', 0.008), ('A7', 0.007), ('expression', 0.007), ('role', 0.006), ('level', 0.006)]"
43,16121256,2,0.9470372200012207,"[('mouse', 0.015), ('gene', 0.014), ('mutant', 0.012), ('locus', 0.01), ('cell', 0.009), ('arthritis', 0.007), ('kidney', 0.007), ('Abstract', 0.006), ('development', 0.006), ('expression', 0.006)]"
44,16216087,6,0.9912606477737427,"[('mouse', 0.018), ('CF', 0.015), ('intestinal', 0.012), ('phenotype', 0.011), ('memory', 0.008), ('modifier', 0.008), ('background', 0.008), ('expression', 0.007), ('olfactory', 0.007), ('marker', 0.007)]"
45,16221973,9,0.993331253528595,"[('protein', 0.016), ('gene', 0.015), ('mouse', 0.014), ('function', 0.012), ('cell', 0.01), ('RanBP2', 0.008), ('model', 0.007), ('role', 0.007), ('development', 0.007), ('acid', 0.006)]"
46,16255782,0,0.9951079487800598,"[('cell', 0.015), ('individual', 0.011), ('factor', 0.011), ('gene', 0.011), ('transcription', 0.01), ('expression', 0.009), ('muscle', 0.008), ('differentiation', 0.008), ('slow', 0.008), ('antioxidant', 0.007)]"
47,16279840,3,0.994796872138977,"[('amyloid', 0.019), ('Aβ', 0.017), ('APP', 0.01), ('pathology', 0.01), ('transgenic', 0.008), ('production', 0.008), ('mouse', 0.008), ('deposit', 0.006), ('Alzheimer', 0.006), ('model', 0.006)]"
48,16362077,7,0.9841287732124329,"[('cell', 0.015), ('mouse', 0.011), ('heterochromatin', 0.01), ('microtubule', 0.01), ('bone', 0.01), ('Mid1', 0.009), ('embryonic', 0.009), ('channel', 0.008), ('embryo', 0.008), ('secretion', 0.006)]"
