,PMID,topic_number,topic_probs,topic_keywords,keywords
0,11597317,3,0.9428011178970337,"[('olfactory', 0.018), ('mouse', 0.017), ('gene', 0.017), ('receptor', 0.015), ('model', 0.01), ('identified', 0.007), ('function', 0.007), ('mutant', 0.007), ('MSUD', 0.006), ('Abstract', 0.006)]","['olfactory', 'mouse', 'gene', 'receptor', 'model', 'identified', 'function', 'mutant', 'MSUD', 'Abstract']"
1,11604102,0,0.9930217862129211,"[('gene', 0.022), ('mouse', 0.012), ('individual', 0.012), ('protein', 0.011), ('factor', 0.011), ('transcription', 0.01), ('antioxidant', 0.008), ('microtubule', 0.008), ('expressed', 0.007), ('DNA', 0.007)]","['gene', 'mouse', 'individual', 'protein', 'factor', 'transcription', 'antioxidant', 'microtubule', 'expressed', 'DNA']"
2,11897010,1,0.9937912821769714,"[('mouse', 0.014), ('cell', 0.011), ('human', 0.01), ('role', 0.008), ('expression', 0.008), ('development', 0.008), ('factor', 0.007), ('gene', 0.007), ('muscle', 0.007), ('mutation', 0.007)]","['mouse', 'cell', 'human', 'role', 'expression', 'development', 'factor', 'gene', 'muscle', 'mutation']"
3,12079497,2,0.9949141144752502,"[('gene', 0.017), ('mouse', 0.012), ('joint', 0.01), ('cell', 0.008), ('reporter', 0.008), ('CLN2', 0.008), ('CIA', 0.008), ('protein', 0.007), ('BMP', 0.007), ('expression', 0.006)]","['gene', 'mouse', 'joint', 'cell', 'reporter', 'CLN2', 'CIA', 'protein', 'BMP', 'expression']"
4,12585968,9,0.9948262572288513,"[('expression', 0.021), ('cell', 0.02), ('mouse', 0.016), ('gene', 0.015), ('protein', 0.007), ('Abstract', 0.006), ('mutant', 0.006), ('development', 0.006), ('factor', 0.005), ('study', 0.005)]","['expression', 'cell', 'mouse', 'gene', 'protein', 'Abstract', 'mutant', 'development', 'factor', 'study']"
5,12925238,5,0.9945445656776428,"[('cell', 0.032), ('A7', 0.018), ('mouse', 0.017), ('Annexin', 0.011), ('differentiation', 0.009), ('protein', 0.008), ('annexin', 0.007), ('development', 0.007), ('apoptotic', 0.007), ('bone', 0.007)]","['cell', 'A7', 'mouse', 'Annexin', 'differentiation', 'protein', 'annexin', 'development', 'apoptotic', 'bone']"
6,14609438,2,0.9929119348526001,"[('gene', 0.017), ('mouse', 0.012), ('joint', 0.01), ('cell', 0.008), ('reporter', 0.008), ('CLN2', 0.008), ('CIA', 0.008), ('protein', 0.007), ('BMP', 0.007), ('expression', 0.006)]","['gene', 'mouse', 'joint', 'cell', 'reporter', 'CLN2', 'CIA', 'protein', 'BMP', 'expression']"
7,14611657,3,0.9961366057395935,"[('olfactory', 0.018), ('mouse', 0.017), ('gene', 0.017), ('receptor', 0.015), ('model', 0.01), ('identified', 0.007), ('function', 0.007), ('mutant', 0.007), ('MSUD', 0.006), ('Abstract', 0.006)]","['olfactory', 'mouse', 'gene', 'receptor', 'model', 'identified', 'function', 'mutant', 'MSUD', 'Abstract']"
8,14624252,1,0.9915866851806641,"[('mouse', 0.014), ('cell', 0.011), ('human', 0.01), ('role', 0.008), ('expression', 0.008), ('development', 0.008), ('factor', 0.007), ('gene', 0.007), ('muscle', 0.007), ('mutation', 0.007)]","['mouse', 'cell', 'human', 'role', 'expression', 'development', 'factor', 'gene', 'muscle', 'mutation']"
9,14675480,1,0.9896520972251892,"[('mouse', 0.014), ('cell', 0.011), ('human', 0.01), ('role', 0.008), ('expression', 0.008), ('development', 0.008), ('factor', 0.007), ('gene', 0.007), ('muscle', 0.007), ('mutation', 0.007)]","['mouse', 'cell', 'human', 'role', 'expression', 'development', 'factor', 'gene', 'muscle', 'mutation']"
10,14691534,3,0.9918901920318604,"[('olfactory', 0.018), ('mouse', 0.017), ('gene', 0.017), ('receptor', 0.015), ('model', 0.01), ('identified', 0.007), ('function', 0.007), ('mutant', 0.007), ('MSUD', 0.006), ('Abstract', 0.006)]","['olfactory', 'mouse', 'gene', 'receptor', 'model', 'identified', 'function', 'mutant', 'MSUD', 'Abstract']"
11,14723793,6,0.9946413040161133,"[('mouse', 0.025), ('gene', 0.016), ('cell', 0.012), ('chromosome', 0.011), ('phenotype', 0.009), ('background', 0.007), ('protein', 0.007), ('sex', 0.007), ('Acdp', 0.007), ('genetic', 0.006)]","['mouse', 'gene', 'cell', 'chromosome', 'phenotype', 'background', 'protein', 'sex', 'Acdp', 'genetic']"
12,14737183,9,0.994913637638092,"[('expression', 0.021), ('cell', 0.02), ('mouse', 0.016), ('gene', 0.015), ('protein', 0.007), ('Abstract', 0.006), ('mutant', 0.006), ('development', 0.006), ('factor', 0.005), ('study', 0.005)]","['expression', 'cell', 'mouse', 'gene', 'protein', 'Abstract', 'mutant', 'development', 'factor', 'study']"
13,15005800,5,0.7020643353462219,"[('cell', 0.032), ('A7', 0.018), ('mouse', 0.017), ('Annexin', 0.011), ('differentiation', 0.009), ('protein', 0.008), ('annexin', 0.007), ('development', 0.007), ('apoptotic', 0.007), ('bone', 0.007)]","['cell', 'A7', 'mouse', 'Annexin', 'differentiation', 'protein', 'annexin', 'development', 'apoptotic', 'bone']"
14,15040800,8,0.9943020939826965,"[('mouse', 0.024), ('cell', 0.01), ('gene', 0.009), ('development', 0.009), ('role', 0.008), ('signaling', 0.007), ('RanBP2', 0.007), ('phenotype', 0.006), ('protein', 0.006), ('receptor', 0.006)]","['mouse', 'cell', 'gene', 'development', 'role', 'signaling', 'RanBP2', 'phenotype', 'protein', 'receptor']"
15,15061865,8,0.9955869913101196,"[('mouse', 0.024), ('cell', 0.01), ('gene', 0.009), ('development', 0.009), ('role', 0.008), ('signaling', 0.007), ('RanBP2', 0.007), ('phenotype', 0.006), ('protein', 0.006), ('receptor', 0.006)]","['mouse', 'cell', 'gene', 'development', 'role', 'signaling', 'RanBP2', 'phenotype', 'protein', 'receptor']"
16,15070402,0,0.9950809478759766,"[('gene', 0.022), ('mouse', 0.012), ('individual', 0.012), ('protein', 0.011), ('factor', 0.011), ('transcription', 0.01), ('antioxidant', 0.008), ('microtubule', 0.008), ('expressed', 0.007), ('DNA', 0.007)]","['gene', 'mouse', 'individual', 'protein', 'factor', 'transcription', 'antioxidant', 'microtubule', 'expressed', 'DNA']"
17,15207008,4,0.986173689365387,"[('protein', 0.018), ('muscle', 0.016), ('TACC', 0.011), ('function', 0.01), ('gene', 0.01), ('KOs', 0.008), ('evolution', 0.008), ('skeletal', 0.007), ('coil', 0.007), ('coiled', 0.007)]","['protein', 'muscle', 'TACC', 'function', 'gene', 'KOs', 'evolution', 'skeletal', 'coil', 'coiled']"
18,15238161,1,0.9955872893333435,"[('mouse', 0.014), ('cell', 0.011), ('human', 0.01), ('role', 0.008), ('expression', 0.008), ('development', 0.008), ('factor', 0.007), ('gene', 0.007), ('muscle', 0.007), ('mutation', 0.007)]","['mouse', 'cell', 'human', 'role', 'expression', 'development', 'factor', 'gene', 'muscle', 'mutation']"
19,15314655,9,0.993523120880127,"[('expression', 0.021), ('cell', 0.02), ('mouse', 0.016), ('gene', 0.015), ('protein', 0.007), ('Abstract', 0.006), ('mutant', 0.006), ('development', 0.006), ('factor', 0.005), ('study', 0.005)]","['expression', 'cell', 'mouse', 'gene', 'protein', 'Abstract', 'mutant', 'development', 'factor', 'study']"
20,15328533,0,0.9902147650718689,"[('gene', 0.022), ('mouse', 0.012), ('individual', 0.012), ('protein', 0.011), ('factor', 0.011), ('transcription', 0.01), ('antioxidant', 0.008), ('microtubule', 0.008), ('expressed', 0.007), ('DNA', 0.007)]","['gene', 'mouse', 'individual', 'protein', 'factor', 'transcription', 'antioxidant', 'microtubule', 'expressed', 'DNA']"
21,15328538,4,0.9938763380050659,"[('protein', 0.018), ('muscle', 0.016), ('TACC', 0.011), ('function', 0.01), ('gene', 0.01), ('KOs', 0.008), ('evolution', 0.008), ('skeletal', 0.007), ('coil', 0.007), ('coiled', 0.007)]","['protein', 'muscle', 'TACC', 'function', 'gene', 'KOs', 'evolution', 'skeletal', 'coil', 'coiled']"
22,15345036,5,0.9936603903770447,"[('cell', 0.032), ('A7', 0.018), ('mouse', 0.017), ('Annexin', 0.011), ('differentiation', 0.009), ('protein', 0.008), ('annexin', 0.007), ('development', 0.007), ('apoptotic', 0.007), ('bone', 0.007)]","['cell', 'A7', 'mouse', 'Annexin', 'differentiation', 'protein', 'annexin', 'development', 'apoptotic', 'bone']"
23,15492776,2,0.995311439037323,"[('gene', 0.017), ('mouse', 0.012), ('joint', 0.01), ('cell', 0.008), ('reporter', 0.008), ('CLN2', 0.008), ('CIA', 0.008), ('protein', 0.007), ('BMP', 0.007), ('expression', 0.006)]","['gene', 'mouse', 'joint', 'cell', 'reporter', 'CLN2', 'CIA', 'protein', 'BMP', 'expression']"
24,15560850,8,0.9936150312423706,"[('mouse', 0.024), ('cell', 0.01), ('gene', 0.009), ('development', 0.009), ('role', 0.008), ('signaling', 0.007), ('RanBP2', 0.007), ('phenotype', 0.006), ('protein', 0.006), ('receptor', 0.006)]","['mouse', 'cell', 'gene', 'development', 'role', 'signaling', 'RanBP2', 'phenotype', 'protein', 'receptor']"
25,15588329,9,0.9934759736061096,"[('expression', 0.021), ('cell', 0.02), ('mouse', 0.016), ('gene', 0.015), ('protein', 0.007), ('Abstract', 0.006), ('mutant', 0.006), ('development', 0.006), ('factor', 0.005), ('study', 0.005)]","['expression', 'cell', 'mouse', 'gene', 'protein', 'Abstract', 'mutant', 'development', 'factor', 'study']"
26,15619330,9,0.9940768480300903,"[('expression', 0.021), ('cell', 0.02), ('mouse', 0.016), ('gene', 0.015), ('protein', 0.007), ('Abstract', 0.006), ('mutant', 0.006), ('development', 0.006), ('factor', 0.005), ('study', 0.005)]","['expression', 'cell', 'mouse', 'gene', 'protein', 'Abstract', 'mutant', 'development', 'factor', 'study']"
27,15630473,9,0.9921026229858398,"[('expression', 0.021), ('cell', 0.02), ('mouse', 0.016), ('gene', 0.015), ('protein', 0.007), ('Abstract', 0.006), ('mutant', 0.006), ('development', 0.006), ('factor', 0.005), ('study', 0.005)]","['expression', 'cell', 'mouse', 'gene', 'protein', 'Abstract', 'mutant', 'development', 'factor', 'study']"
28,15760270,7,0.9930753111839294,"[('mouse', 0.026), ('γ2', 0.015), ('protein', 0.011), ('gene', 0.01), ('taste', 0.007), ('domain', 0.006), ('cubilin', 0.006), ('SAM', 0.006), ('behavior', 0.006), ('expression', 0.006)]","['mouse', 'γ2', 'protein', 'gene', 'taste', 'domain', 'cubilin', 'SAM', 'behavior', 'expression']"
29,15784609,8,0.019441666081547737,"[('mouse', 0.024), ('cell', 0.01), ('gene', 0.009), ('development', 0.009), ('role', 0.008), ('signaling', 0.007), ('RanBP2', 0.007), ('phenotype', 0.006), ('protein', 0.006), ('receptor', 0.006)]","['mouse', 'cell', 'gene', 'development', 'role', 'signaling', 'RanBP2', 'phenotype', 'protein', 'receptor']"
