,StartIndex,EndIndex,MentionTextSegment,EntityID,PMID
CHEBI_2015_08_26_Instance_320000,1087,1096,biological pigment,CHEBI:26130,11532192
CHEBI_2015_08_26_Instance_25351,401,407,cation,CHEBI:36916,11897010
CHEBI_2015_08_26_Instance_25365,1128,1131,ion,CHEBI:24870,11897010
CHEBI_2015_08_26_Instance_70000,590,601,chromogenic compound,CHEBI:75050,12079497
CHEBI_2015_08_26_Instance_14489,827,835,electron,CHEBI:10545,12546709
CHEBI_2015_08_26_Instance_80000,623,626,dilC18(3) dye,CHEBI:52029,12585968
CHEBI_2015_08_26_Instance_10431,174,178,calcium(2+),CHEBI:29108,12925238
CHEBI_2015_08_26_Instance_10433,184,196,phospholipid,CHEBI:16247,12925238
CHEBI_2015_08_26_Instance_10435,443,447,calcium(2+),CHEBI:29108,12925238
CHEBI_2015_08_26_Instance_10437,714,718,calcium(2+),CHEBI:29108,12925238
CHEBI_2015_08_26_Instance_130014,1042,1050,effector,CHEBI:35224,14624252
CHEBI_2015_08_26_Instance_240581,190,199,polyatomic entity,CHEBI:36357,14624252
CHEBI_2015_08_26_Instance_110000,187,196,mitogen,CHEBI:52290,14675480
CHEBI_2015_08_26_Instance_130251,126,133,mitogen,CHEBI:52290,14675480
CHEBI_2015_08_26_Instance_130002,1046,1053,mitogen,CHEBI:52290,14675480
CHEBI_2015_08_26_Instance_15121,806,816,biological pigment,CHEBI:26130,14737183
CHEBI_2015_08_26_Instance_15241,1367,1377,surfactant,CHEBI:35195,15005800
CHEBI_2015_08_26_Instance_15261,128,139,cholesterol,CHEBI:16113,15005800
CHEBI_2015_08_26_Instance_15263,605,616,cholesterol,CHEBI:16113,15005800
CHEBI_2015_08_26_Instance_15265,1446,1457,cholesterol,CHEBI:16113,15005800
CHEBI_2015_08_26_Instance_15267,1530,1541,cholesterol,CHEBI:16113,15005800
CHEBI_2015_08_26_Instance_16367,119,127,squalene,CHEBI:15440,15005800
CHEBI_2015_08_26_Instance_13883,1294,1303,polyatomic entity,CHEBI:36357,15018652
CHEBI_2015_08_26_Instance_14413,99,110,cholesterol,CHEBI:16113,15040800
