,StartIndex,EndIndex,MentionTextSegment,EntityID,PMID
GO_CC_2016_02_16_Instance_101457,1541,1548,nucleus,GO:0005634,11597317
GO_CC_2016_02_16_test_Instance_25745,375,387,Y chromosome,GO:0000806,11604102
GO_CC_2016_02_16_test_Instance_25747,407,415,autosome,GO:0030849,11604102
GO_CC_2016_02_16_test_Instance_25751,1272,1283,cytoplasm,GO:0005737,11604102
GO_CC_2016_02_16_test_Instance_25753,1323,1336,polysome,GO:0005844,11604102
GO_CC_2016_02_16_Instance_307,1107,1115,membrane,GO:0016020,11897010
GO_CC_2016_02_16_test_Instance_25833,175,184,autosome,GO:0030849,11897010
GO_CC_2016_02_16_test_Instance_25835,195,204,lysosome,GO:0005764,11897010
GO_CC_2016_02_16_test_Instance_25839,1155,1169,late endosome,GO:0005770,11897010
GO_CC_2016_02_16_test_Instance_25841,1170,1179,lysosome,GO:0005764,11897010
GO_CC_2016_02_16_test_Instance_25843,1276,1293,vesicle membrane,GO:0012506,11897010
GO_CC_2016_02_16_Instance_101571,1157,1164,nucleus,GO:0005634,12546709
GO_CC_2016_02_16_Instance_102543,1380,1391,cell projection,GO:0042995,12585968
GO_CC_2016_02_16_Instance_102545,1490,1501,cell projection,GO:0042995,12585968
GO_CC_2016_02_16_Instance_101785,1366,1378,cytoskeleton,GO:0005856,12925238
GO_CC_2016_02_16_Instance_101787,1357,1365,membrane,GO:0016020,12925238
GO_CC_2016_02_16_test_Instance_26017,286,294,membrane,GO:0016020,12925238
GO_CC_2016_02_16_test_Instance_26019,458,465,vesicle,GO:0031982,12925238
GO_CC_2016_02_16_test_Instance_26021,777,785,membrane,GO:0016020,12925238
GO_CC_2016_02_16_test_Instance_26023,1236,1244,membrane,GO:0016020,12925238
GO_CC_2016_02_16_Instance_90000,20,24,platelet-derived growth factor complex,GO:1990265,14624252
GO_CC_2016_02_16_Instance_110016,113,143,platelet-derived growth factor complex,GO:1990265,14624252
GO_CC_2016_02_16_test_Instance_26469,1298,1313,plasma membrane,GO:0005886,14723793
GO_CC_2016_02_16_Instance_101823,1333,1339,apical part of cell,GO:0045177,15040800
GO_CC_2016_02_16_test_Instance_26627,328,337,autosome,GO:0030849,15040800
GO_CC_2016_02_16_Instance_101919,672,676,protein phosphatase type 2A complex,GO:0000159,15070402
GO_CC_2016_02_16_Instance_20126,601,615,protein phosphatase type 2A complex,GO:0000159,15070402
GO_CC_2016_02_16_Instance_20132,617,621,protein phosphatase type 2A complex,GO:0000159,15070402
GO_CC_2016_02_16_test_Instance_26801,148,160,microtubule,GO:0005874,15070402
GO_CC_2016_02_16_test_Instance_26803,364,365,X chromosome,GO:0000805,15070402
GO_CC_2016_02_16_test_Instance_26805,453,465,microtubule,GO:0005874,15070402
GO_CC_2016_02_16_test_Instance_26807,500,512,cytoskeleton,GO:0005856,15070402
GO_CC_2016_02_16_test_Instance_26809,692,704,microtubule,GO:0005874,15070402
GO_CC_2016_02_16_test_Instance_26811,1403,1410,nucleus,GO:0005634,15070402
GO_CC_2016_02_16_test_Instance_26813,1415,1424,cytoplasm,GO:0005737,15070402
GO_CC_2016_02_16_test_Instance_26815,1457,1486,microtubule organizing center,GO:0005815,15070402
GO_CC_2016_02_16_Instance_20238,1363,1378,mitotic spindle,GO:0072686,15207008
GO_CC_2016_02_16_test_Instance_27121,1234,1241,nucleus,GO:0005634,15207008
GO_CC_2016_02_16_test_Instance_27123,1351,1362,centrosome,GO:0005813,15207008
GO_CC_2016_02_16_test_Instance_27127,1426,1435,macromolecular complex,GO:0032991,15207008
GO_CC_2016_02_16_test_Instance_27427,1374,1381,nucleus,GO:0005634,15314655
GO_CC_2016_02_16_test_Instance_27543,1124,1131,nucleus,GO:0005634,15314659
GO_CC_2016_02_16_test_Instance_27799,169,178,autosome,GO:0030849,15320950
GO_CC_2016_02_16_test_Instance_27801,1009,1014,apical plasma membrane,GO:0016324,15320950
GO_CC_2016_02_16_test_Instance_27909,173,186,mitochondrion,GO:0005739,15328533
GO_CC_2016_02_16_test_Instance_27911,525,535,peroxisome,GO:0005777,15328533
GO_CC_2016_02_16_test_Instance_27913,1329,1341,mitochondrion,GO:0005739,15328533
GO_CC_2016_02_16_test_Instance_27979,959,971,mitochondrion,GO:0005739,15328538
GO_CC_2016_02_16_test_Instance_28199,50,54,axon,GO:0030424,15550985
GO_CC_2016_02_16_test_Instance_28201,263,267,axon,GO:0030424,15550985
GO_CC_2016_02_16_test_Instance_28203,346,351,axon,GO:0030424,15550985
GO_CC_2016_02_16_test_Instance_28205,538,543,axon,GO:0030424,15550985
GO_CC_2016_02_16_test_Instance_28207,605,610,axon,GO:0030424,15550985
GO_CC_2016_02_16_test_Instance_28209,763,768,axon,GO:0030424,15550985
GO_CC_2016_02_16_test_Instance_28211,838,842,axon,GO:0030424,15550985
GO_CC_2016_02_16_test_Instance_28213,1357,1362,axon,GO:0030424,15550985
GO_CC_2016_02_16_Instance_101565,360,373,mitochondrion,GO:0005739,15588329
GO_CC_2016_02_16_test_Instance_28505,0,8,membrane,GO:0016020,15588329
GO_CC_2016_02_16_test_Instance_28507,25,38,mitochondrion,GO:0005739,15588329
GO_CC_2016_02_16_test_Instance_28513,1208,1217,lysosome,GO:0005764,15588329
GO_CC_2016_02_16_test_Instance_28515,1294,1306,mitochondrion,GO:0005739,15588329
GO_CC_2016_02_16_test_Instance_28517,1500,1508,membrane,GO:0016020,15588329
GO_CC_2016_02_16_test_Instance_28519,1486,1499,intracellular,GO:0005622,15588329
GO_CC_2016_02_16_test_Instance_28521,1525,1538,mitochondrion,GO:0005739,15588329
GO_CC_2016_02_16_Instance_60002,1532,1548,transcriptionally active chromatin,GO:0035327,15619330
GO_CC_2016_02_16_test_Instance_28865,704,715,nucleosome,GO:0000786,15619330
GO_CC_2016_02_16_test_Instance_28867,862,871,chromatin,GO:0000785,15619330
GO_CC_2016_02_16_test_Instance_20981,948,966,cell-cell junction,GO:0005911,15630473
GO_CC_2016_02_16_test_Instance_28973,393,406,extracellular region,GO:0005576,15630473
GO_CC_2016_02_16_test_Instance_29247,19,32,photoreceptor outer segment,GO:0001750,15676071
GO_CC_2016_02_16_test_Instance_29249,734,747,photoreceptor outer segment,GO:0001750,15676071
GO_CC_2016_02_16_test_Instance_29253,944,952,synapse,GO:0045202,15676071
GO_CC_2016_02_16_Instance_60278,1437,1445,vacuole,GO:0005773,15760270
GO_CC_2016_02_16_test_Instance_29723,196,206,peroxisome,GO:0005777,15760270
GO_CC_2016_02_16_test_Instance_29725,530,543,mitochondrion,GO:0005739,15760270
GO_CC_2016_02_16_test_Instance_29727,702,715,mitochondrion,GO:0005739,15760270
GO_CC_2016_02_16_test_Instance_29729,1235,1248,mitochondrion,GO:0005739,15760270
GO_CC_2016_02_16_test_Instance_29963,0,7,nucleus,GO:0005634,15819996
GO_CC_2016_02_16_test_Instance_29965,751,760,cytoplasm,GO:0005737,15819996
GO_CC_2016_02_16_test_Instance_29967,764,771,nucleus,GO:0005634,15819996
GO_CC_2016_02_16_test_Instance_29969,937,944,cytosol,GO:0005829,15819996
GO_CC_2016_02_16_test_Instance_29971,1043,1050,cytosol,GO:0005829,15819996
GO_CC_2016_02_16_test_Instance_29973,1281,1288,nucleus,GO:0005634,15819996
GO_CC_2016_02_16_test_Instance_29975,1363,1370,nucleus,GO:0005634,15819996
