,StartIndex,EndIndex,MentionTextSegment,EntityID,PMID
MOP_Instance_130000,1156,1165,oxidation,MOP:0000568,15328533
MOP_Instance_130002,1362,1371,oxidation,MOP:0000568,15328533
MOP_Instance_140034,1362,1371,oxidation,MOP:0000568,15328538
MOP_Instance_140082,1065,1074,oxidation,MOP:0000568,15328538
MOP_Instance_150000,1391,1400,oxidation,MOP:0000568,15588329
MOP_Instance_180006,1565,1575,hydrolysis,MOP:0000619,15917436
MOP_Instance_200068,203,212,oxidation,MOP:0000568,16121256
MOP_Instance_200070,920,929,oxidation,MOP:0000568,16121256
MOP_Instance_200072,986,995,oxidation,MOP:0000568,16121256
MOP_Instance_200074,1151,1160,oxidation,MOP:0000568,16121256
MOP_Instance_220058,982,991,oxidation,MOP:0000568,16221973
MOP_Instance_220044,160,166,breaking of covalent bond,MOP:0000780,16279840
