,StartIndex,EndIndex,MentionTextSegment,EntityID,PMID
GO_BP_2016_02_16_Instance_53469,63,71,biological regulation,GO:0065007,11319941
GO_BP_2016_02_16_Instance_53471,157,167,biological regulation,GO:0065007,11319941
GO_BP_2016_02_16_Instance_53473,194,203,cognition,GO:0050890,11319941
GO_BP_2016_02_16_Instance_53475,355,363,biological regulation,GO:0065007,11319941
GO_BP_2016_02_16_Instance_54465,612,617,aging,GO:0007568,11532192
GO_BP_2016_02_16_Instance_54467,692,706,circadian rhythm,GO:0007623,11532192
GO_BP_2016_02_16_Instance_54469,1340,1350,biological regulation,GO:0065007,11532192
GO_BP_2016_02_16_Instance_23367,279,313,double-strand break repair via homologous recombination,GO:0000724,11597317
GO_BP_2016_02_16_Instance_23369,279,313,double-strand break repair via homologous recombination,GO:0000724,11597317
GO_BP_2016_02_16_Instance_23371,428,450,recombinational repair,GO:0000725,11597317
GO_BP_2016_02_16_Instance_48683,156,166,DNA repair,GO:0006281,11597317
GO_BP_2016_02_16_Instance_48687,757,763,DNA repair,GO:0006281,11597317
GO_BP_2016_02_16_Instance_48691,1424,1434,DNA repair,GO:0006281,11597317
GO_BP_2016_02_16_Instance_51747,541,550,gene expression,GO:0010467,11604102
GO_BP_2016_02_16_Instance_51749,758,768,gene expression,GO:0010467,11604102
GO_BP_2016_02_16_Instance_51751,1095,1104,gene expression,GO:0010467,11604102
GO_BP_2016_02_16_Instance_51753,1411,1421,gene expression,GO:0010467,11604102
GO_BP_2016_02_16_Instance_51755,1451,1466,spermatogenesis,GO:0007283,11604102
GO_BP_2016_02_16_Instance_51757,1548,1559,translation,GO:0006412,11604102
GO_BP_2016_02_16_Instance_53,1116,1134,male gonad development,GO:0008584,11604102
GO_BP_2016_02_16_Instance_52135,65,86,"alternative mRNA splicing, via spliceosome",GO:0000380,11897010
GO_BP_2016_02_16_Instance_52137,528,534,RNA splicing,GO:0008380,11897010
GO_BP_2016_02_16_Instance_52139,948,968,"alternative mRNA splicing, via spliceosome",GO:0000380,11897010
GO_BP_2016_02_16_Instance_52145,1359,1365,RNA splicing,GO:0008380,11897010
GO_BP_2016_02_16_Instance_46765,30,40,gene expression,GO:0010467,12079497
GO_BP_2016_02_16_Instance_46767,320,334,bioluminescence,GO:0008218,12079497
GO_BP_2016_02_16_Instance_46769,1314,1324,gene expression,GO:0010467,12079497
GO_BP_2016_02_16_Instance_46771,1508,1518,gene expression,GO:0010467,12079497
GO_BP_2016_02_16_Instance_30039,1566,1580,cell development,GO:0048468,12546709
GO_BP_2016_02_16_Instance_48541,528,537,gene expression,GO:0010467,12546709
GO_BP_2016_02_16_Instance_23575,534,539,parturition,GO:0007567,12585968
GO_BP_2016_02_16_Instance_47219,238,247,apoptotic process,GO:0006915,12585968
GO_BP_2016_02_16_Instance_47221,334,344,gene expression,GO:0010467,12585968
GO_BP_2016_02_16_Instance_47223,380,401,embryo development,GO:0009790,12585968
GO_BP_2016_02_16_Instance_47225,486,496,gene expression,GO:0010467,12585968
GO_BP_2016_02_16_Instance_47227,559,569,gene expression,GO:0010467,12585968
GO_BP_2016_02_16_Instance_47229,1528,1538,gene expression,GO:0010467,12585968
GO_BP_2016_02_16_Instance_60106,294,299,cell development,GO:0048468,12585968
GO_BP_2016_02_16_Instance_60110,740,745,parturition,GO:0007567,12585968
GO_BP_2016_02_16_Instance_53081,10,20,gene expression,GO:0010467,12925238
GO_BP_2016_02_16_Instance_53085,213,222,gene expression,GO:0010467,12925238
GO_BP_2016_02_16_Instance_53089,728,740,membrane budding,GO:0006900,12925238
GO_BP_2016_02_16_Instance_53091,1466,1484,cellular process,GO:0009987,12925238
GO_BP_2016_02_16_Instance_60353,286,301,membrane fusion,GO:0061025,12925238
GO_BP_2016_02_16_Instance_60355,443,473,calcium ion regulated exocytosis,GO:0017156,12925238
GO_BP_2016_02_16_Instance_60359,1236,1251,membrane fusion,GO:0061025,12925238
GO_BP_2016_02_16_Instance_45419,298,308,gene expression,GO:0010467,14609438
GO_BP_2016_02_16_Instance_230590,63,73,gene expression,GO:0010467,14611657
GO_BP_2016_02_16_Instance_50679,17,26,gene expression,GO:0010467,14611657
GO_BP_2016_02_16_Instance_50681,53,62,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50685,103,121,"alternative mRNA splicing, via spliceosome",GO:0000380,14611657
GO_BP_2016_02_16_Instance_50687,134,144,gene expression,GO:0010467,14611657
GO_BP_2016_02_16_Instance_50689,227,236,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50691,285,294,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50693,349,358,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50695,406,415,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50697,425,434,gene expression,GO:0010467,14611657
GO_BP_2016_02_16_Instance_50699,472,481,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50701,511,520,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50703,628,637,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50705,780,789,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50707,838,847,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50709,883,892,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50711,934,943,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50713,978,987,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50715,997,1006,gene expression,GO:0010467,14611657
GO_BP_2016_02_16_Instance_50717,1044,1053,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50719,1083,1092,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50721,1301,1311,gene expression,GO:0010467,14611657
GO_BP_2016_02_16_Instance_50723,1393,1402,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50725,1433,1442,sensory perception of smell,GO:0007608,14611657
GO_BP_2016_02_16_Instance_50727,1548,1558,gene expression,GO:0010467,14611657
GO_BP_2016_02_16_Instance_24249,1337,1341,transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007169,14624252
GO_BP_2016_02_16_Instance_46395,260,294,transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007169,14624252
GO_BP_2016_02_16_Instance_46401,706,715,gene expression,GO:0010467,14624252
GO_BP_2016_02_16_Instance_46405,804,814,gene expression,GO:0010467,14624252
GO_BP_2016_02_16_Instance_46411,1287,1335,transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007169,14624252
GO_BP_2016_02_16_Instance_70143,58,97,vascular smooth muscle cell development,GO:0097084,14624252
GO_BP_2016_02_16_Instance_70159,20,54,platelet-derived growth factor receptor-beta signaling pathway,GO:0035791,14624252
GO_BP_2016_02_16_with_nested_annotations_Instance_21202,1186,1212,platelet-derived growth factor receptor-beta signaling pathway,GO:0035791,14624252
GO_BP_2016_02_16_Instance_24793,1086,1094,MAPK cascade,GO:0000165,14675480
GO_BP_2016_02_16_Instance_52739,68,79,placenta development,GO:0001890,14675480
GO_BP_2016_02_16_Instance_52741,58,79,embryo development,GO:0009790,14675480
GO_BP_2016_02_16_Instance_52743,426,429,death,GO:0016265,14675480
GO_BP_2016_02_16_Instance_52745,533,543,gene expression,GO:0010467,14675480
GO_BP_2016_02_16_Instance_52747,724,733,apoptotic process,GO:0006915,14675480
GO_BP_2016_02_16_Instance_52751,845,864,heart development,GO:0007507,14675480
GO_BP_2016_02_16_Instance_52753,929,950,embryo development,GO:0009790,14675480
GO_BP_2016_02_16_Instance_52757,1086,1094,MAPK cascade,GO:0000165,14675480
GO_BP_2016_02_16_Instance_52759,1124,1142,cellular process,GO:0009987,14675480
GO_BP_2016_02_16_Instance_52761,1173,1188,cell differentiation,GO:0030154,14675480
GO_BP_2016_02_16_Instance_52763,1153,1171,cell proliferation,GO:0008283,14675480
GO_BP_2016_02_16_Instance_52765,1203,1212,apoptotic process,GO:0006915,14675480
GO_BP_2016_02_16_Instance_48127,1062,1071,gene expression,GO:0010467,14723793
GO_BP_2016_02_16_Instance_48129,1133,1142,gene expression,GO:0010467,14723793
GO_BP_2016_02_16_Instance_48131,1175,1185,gene expression,GO:0010467,14723793
GO_BP_2016_02_16_Instance_48133,1408,1417,gene expression,GO:0010467,14723793
GO_BP_2016_02_16_Instance_45845,200,207,biological regulation,GO:0065007,14737183
GO_BP_2016_02_16_Instance_45847,378,385,biological regulation,GO:0065007,14737183
GO_BP_2016_02_16_Instance_45849,754,764,gene expression,GO:0010467,14737183
GO_BP_2016_02_16_Instance_45853,1003,1013,gene expression,GO:0010467,14737183
GO_BP_2016_02_16_Instance_45855,1071,1081,gene expression,GO:0010467,14737183
GO_BP_2016_02_16_Instance_45857,1130,1140,gene expression,GO:0010467,14737183
GO_BP_2016_02_16_Instance_45859,1403,1413,gene expression,GO:0010467,14737183
GO_BP_2016_02_16_Instance_70552,1175,1180,parturition,GO:0007567,14737183
GO_BP_2016_02_16_Instance_21899,1218,1223,cell differentiation,GO:0030154,15005800
GO_BP_2016_02_16_Instance_31975,338,341,death,GO:0016265,15005800
GO_BP_2016_02_16_Instance_55345,5,16,female pregnancy,GO:0007565,15005800
GO_BP_2016_02_16_Instance_55347,128,152,cholesterol biosynthetic process,GO:0006695,15005800
GO_BP_2016_02_16_Instance_55349,180,201,embryo development,GO:0009790,15005800
GO_BP_2016_02_16_Instance_55351,361,366,parturition,GO:0007567,15005800
GO_BP_2016_02_16_Instance_55353,454,459,death,GO:0016265,15005800
GO_BP_2016_02_16_Instance_55357,631,647,lung development,GO:0030324,15005800
GO_BP_2016_02_16_Instance_55367,1144,1162,cell proliferation,GO:0008283,15005800
GO_BP_2016_02_16_Instance_55371,1518,1541,cholesterol transport,GO:0030301,15005800
GO_BP_2016_02_16_Instance_70815,899,927,epithelial tube branching involved in lung morphogenesis,GO:0060441,15005800
GO_BP_2016_02_16_Instance_53625,72,90,cell fate specification,GO:0001708,15018652
GO_BP_2016_02_16_Instance_53629,293,302,gene expression,GO:0010467,15018652
GO_BP_2016_02_16_Instance_53631,362,374,gastrulation,GO:0007369,15018652
GO_BP_2016_02_16_Instance_53633,464,482,cell fate specification,GO:0001708,15018652
GO_BP_2016_02_16_Instance_53635,518,539,germ cell development,GO:0007281,15018652
GO_BP_2016_02_16_Instance_53643,1027,1040,embryo development,GO:0009790,15018652
GO_BP_2016_02_16_Instance_53645,1079,1097,cell fate specification,GO:0001708,15018652
GO_BP_2016_02_16_Instance_53649,1223,1236,embryo development,GO:0009790,15018652
