,StartIndex,EndIndex,MentionTextSegment,EntityID,PMID
PR_reasoned_2017_04_17_Instance_28219,0,5,breast cancer type 2 susceptibility protein,PR:000004804,11597317
PR_reasoned_2017_04_17_Instance_28241,233,238,breast cancer type 2 susceptibility protein,PR:000004804,11597317
PR_reasoned_2017_04_17_Instance_28263,396,401,breast cancer type 2 susceptibility protein,PR:000004804,11597317
PR_reasoned_2017_04_17_Instance_28285,452,457,breast cancer type 2 susceptibility protein,PR:000004804,11597317
PR_reasoned_2017_04_17_Instance_28307,733,738,breast cancer type 2 susceptibility protein,PR:000004804,11597317
PR_reasoned_2017_04_17_Instance_28327,550,555,DNA repair protein RAD51 homolog 1,PR:000013672,11597317
PR_reasoned_2017_04_17_Instance_28349,742,747,DNA repair protein RAD51 homolog 1,PR:000013672,11597317
PR_reasoned_2017_04_17_Instance_28363,1018,1023,breast cancer type 2 susceptibility protein,PR:000004804,11597317
PR_reasoned_2017_04_17_Instance_28383,1517,1522,DNA repair protein RAD51 homolog 1,PR:000013672,11597317
PR_reasoned_2017_04_17_Instance_28403,1560,1565,breast cancer type 1 susceptibility protein,PR:000004803,11597317
PR_reasoned_2017_04_17_Instance_30275,147,152,breast cancer type 2 susceptibility protein,PR:000004804,11597317
PR_reasoned_2017_04_17_Instance_30277,817,822,breast cancer type 2 susceptibility protein,PR:000004804,11597317
PR_reasoned_2017_04_17_Instance_30279,824,829,breast cancer type 2 susceptibility protein,PR:000004804,11597317
PR_reasoned_2017_04_17_Instance_37911,30,36,DAZ-associated protein 1,PR:000006288,11604102
PR_reasoned_2017_04_17_Instance_37913,114,117,deleted in azoospermia protein 1,PR:000006284,11604102
PR_reasoned_2017_04_17_Instance_37915,122,126,deleted in azoospermia-like,PR:000006290,11604102
PR_reasoned_2017_04_17_Instance_37917,150,156,DAZ-associated protein 1,PR:000006288,11604102
PR_reasoned_2017_04_17_Instance_37921,158,182,DAZ-associated protein 1,PR:000006288,11604102
PR_reasoned_2017_04_17_Instance_37923,304,307,deleted in azoospermia protein 1,PR:000006284,11604102
PR_reasoned_2017_04_17_Instance_37925,309,331,deleted in azoospermia protein 1,PR:000006284,11604102
PR_reasoned_2017_04_17_Instance_37927,344,350,DAZ-associated protein 1,PR:000006288,11604102
PR_reasoned_2017_04_17_Instance_37929,396,399,deleted in azoospermia protein 1,PR:000006284,11604102
PR_reasoned_2017_04_17_Instance_37931,442,446,deleted in azoospermia-like,PR:000006290,11604102
PR_reasoned_2017_04_17_Instance_37933,448,454,DAZ-associated protein 1,PR:000006288,11604102
PR_reasoned_2017_04_17_Instance_37935,623,629,DAZ-associated protein 1,PR:000006288,11604102
PR_reasoned_2017_04_17_Instance_37937,675,678,deleted in azoospermia protein 1,PR:000006284,11604102
PR_reasoned_2017_04_17_Instance_37939,683,687,deleted in azoospermia-like,PR:000006290,11604102
PR_reasoned_2017_04_17_Instance_37941,729,735,DAZ-associated protein 1,PR:000006288,11604102
PR_reasoned_2017_04_17_Instance_37943,955,961,DAZ-associated protein 1,PR:000006288,11604102
PR_reasoned_2017_04_17_Instance_37945,1055,1059,DAZ-associated protein 1,PR:000006288,11604102
PR_reasoned_2017_04_17_Instance_37947,1085,1091,DAZ-associated protein 1,PR:000006288,11604102
PR_reasoned_2017_04_17_Instance_37949,1172,1178,DAZ-associated protein 1,PR:000006288,11604102
PR_reasoned_2017_04_17_Instance_37951,1247,1253,DAZ-associated protein 1,PR:000006288,11604102
PR_reasoned_2017_04_17_Instance_37953,1352,1358,DAZ-associated protein 1,PR:000006288,11604102
PR_reasoned_2017_04_17_Instance_62,424,427,deleted in azoospermia protein 1,PR:000006284,11604102
PR_reasoned_2017_04_17_Instance_30185,42,48,mucolipin-1,PR:000010252,11897010
PR_reasoned_2017_04_17_Instance_30187,1048,1054,mucolipin-1,PR:000010252,11897010
PR_reasoned_2017_04_17_Instance_30189,1076,1082,mucolipin-1,PR:000010252,11897010
PR_reasoned_2017_04_17_Instance_30301,315,321,mucolipin-1,PR:000010252,11897010
PR_reasoned_2017_04_17_Instance_30303,501,507,mucolipin-1,PR:000010252,11897010
PR_reasoned_2017_04_17_Instance_30305,641,647,mucolipin-1,PR:000010252,11897010
PR_reasoned_2017_04_17_Instance_30307,700,706,mucolipin-1,PR:000010252,11897010
PR_reasoned_2017_04_17_Instance_30309,714,720,mucolipin-1,PR:000010252,11897010
PR_reasoned_2017_04_17_Instance_30311,1400,1406,mucolipin-1,PR:000010252,11897010
PR_reasoned_2017_04_17_Instance_60003,401,415,transient receptor potential cation channel TRPV,PR:000000681,11897010
PR_reasoned_2017_04_17_Instance_60005,401,415,transient receptor potential cation channel TRPV,PR:000000681,11897010
PR_reasoned_2017_04_17_Instance_61165,514,518,bacterial-type beta-galactosidase,PR:000033987,12079497
PR_reasoned_2017_04_17_Instance_30393,57,67,alpha-crystallin A chain,PR:000005907,12546709
PR_reasoned_2017_04_17_Instance_30395,50,67,alpha-crystallin B chain,PR:000005908,12546709
PR_reasoned_2017_04_17_Instance_30397,508,514,alpha-crystallin B chain,PR:000005908,12546709
PR_reasoned_2017_04_17_Instance_30399,497,503,alpha-crystallin A chain,PR:000005907,12546709
PR_reasoned_2017_04_17_Instance_30401,703,713,alpha-crystallin A chain,PR:000005907,12546709
PR_reasoned_2017_04_17_Instance_30403,721,727,alpha-crystallin A chain,PR:000005907,12546709
PR_reasoned_2017_04_17_Instance_30405,696,713,alpha-crystallin B chain,PR:000005908,12546709
PR_reasoned_2017_04_17_Instance_30407,776,782,alpha-crystallin A chain,PR:000005907,12546709
PR_reasoned_2017_04_17_Instance_30409,953,959,alpha-crystallin A chain,PR:000005907,12546709
PR_reasoned_2017_04_17_Instance_30411,1128,1134,alpha-crystallin A chain,PR:000005907,12546709
PR_reasoned_2017_04_17_Instance_30413,1277,1283,alpha-crystallin A chain,PR:000005907,12546709
