,StartIndex,EndIndex,MentionTextSegment,EntityID,PMID
CL_basic_2014_02_21_Instance_12805,975,981,neuron,CL:0000540,11319941
CL_basic_2014_02_21_Instance_13145,1067,1073,neuron,CL:0000540,11319941
CL_basic_2014_02_21_Instance_13357,1462,1469,neuron,CL:0000540,11319941
CL_basic_2014_02_21_Instance_21965,703,709,neuron,CL:0000540,11319941
CL_basic_2014_02_21_Instance_21967,913,919,neuron,CL:0000540,11319941
CL_basic_2014_02_21_Instance_22279,770,777,neuron,CL:0000540,11319941
CL_basic_2014_02_21_Instance_25943,83,89,neuron,CL:0000540,11319941
CL_basic_2014_02_21_Instance_30002,259,265,striatum neuron,CL:0002613,11319941
CL_basic_2014_02_21_Instance_30008,451,457,striatum neuron,CL:0002613,11319941
CL_basic_2014_02_21_Instance_30014,791,806,striatum neuron,CL:0002613,11319941
CL_basic_2014_02_21_Instance_30302,0,20,embryonic stem cell,CL:0002322,12079497
CL_basic_2014_02_21_Instance_30304,782,787,embryonic stem cell,CL:0002322,12079497
CL_basic_2014_02_21_Instance_30308,859,863,embryonic stem cell,CL:0002322,12079497
CL_basic_2014_02_21_Instance_30312,1249,1257,embryonic stem cell,CL:0002322,12079497
CL_basic_2014_02_21_plus_nested_test_Instance_10017,782,787,embryonic stem cell,CL:0002322,12079497
CL_basic_2014_02_21_plus_nested_test_Instance_10021,859,863,embryonic stem cell,CL:0002322,12079497
CL_basic_2014_02_21_Instance_13797,166,176,sensory hair cell,CL:0000855,12585968
CL_basic_2014_02_21_Instance_13799,289,299,sensory hair cell,CL:0000855,12585968
CL_basic_2014_02_21_Instance_13801,356,371,sensory neuron,CL:0000101,12585968
CL_basic_2014_02_21_Instance_13803,869,879,sensory hair cell,CL:0000855,12585968
CL_basic_2014_02_21_Instance_13805,964,974,sensory hair cell,CL:0000855,12585968
CL_basic_2014_02_21_Instance_13807,1053,1063,sensory hair cell,CL:0000855,12585968
CL_basic_2014_02_21_Instance_13809,1116,1131,sensory neuron,CL:0000101,12585968
CL_basic_2014_02_21_Instance_13811,1328,1338,sensory hair cell,CL:0000855,12585968
CL_basic_2014_02_21_Instance_13813,1444,1454,sensory hair cell,CL:0000855,12585968
CL_basic_2014_02_21_Instance_12459,55,64,platelet,CL:0000233,12925238
CL_basic_2014_02_21_Instance_12475,69,84,erythrocyte,CL:0000232,12925238
CL_basic_2014_02_21_Instance_12477,364,376,erythrocyte,CL:0000232,12925238
CL_basic_2014_02_21_Instance_12487,496,511,erythrocyte,CL:0000232,12925238
CL_basic_2014_02_21_Instance_12501,629,644,erythrocyte,CL:0000232,12925238
CL_basic_2014_02_21_Instance_12509,662,674,erythrocyte,CL:0000232,12925238
CL_basic_2014_02_21_Instance_12531,971,986,erythrocyte,CL:0000232,12925238
CL_basic_2014_02_21_Instance_12539,1022,1031,platelet,CL:0000233,12925238
CL_basic_2014_02_21_Instance_12543,1159,1168,platelet,CL:0000233,12925238
CL_basic_2014_02_21_Instance_12545,1275,1290,erythrocyte,CL:0000232,12925238
CL_basic_2014_02_21_Instance_12547,1380,1395,erythrocyte,CL:0000232,12925238
CL_basic_2014_02_21_Instance_12549,1564,1579,erythrocyte,CL:0000232,12925238
CL_basic_2014_02_21_Instance_22357,392,400,neuron,CL:0000540,14609438
CL_basic_2014_02_21_Instance_11143,586,614,vascular associated smooth muscle cell,CL:0000359,14624252
CL_basic_2014_02_21_Instance_11145,626,627,vascular associated smooth muscle cell,CL:0000359,14624252
CL_basic_2014_02_21_Instance_11147,913,914,vascular associated smooth muscle cell,CL:0000359,14624252
CL_basic_2014_02_21_Instance_11149,1256,1261,vascular associated smooth muscle cell,CL:0000359,14624252
CL_basic_2014_02_21_Instance_14189,58,85,vascular associated smooth muscle cell,CL:0000359,14624252
CL_basic_2014_02_21_Instance_22391,113,121,platelet,CL:0000233,14624252
CL_basic_2014_02_21_Instance_30634,615,624,pericyte cell,CL:0000669,14624252
CL_basic_2014_02_21_Instance_30636,628,629,pericyte cell,CL:0000669,14624252
CL_basic_2014_02_21_Instance_30638,915,916,pericyte cell,CL:0000669,14624252
CL_basic_2014_02_21_Instance_30641,1254,1261,pericyte cell,CL:0000669,14624252
CL_basic_2014_02_21_Instance_70095,1330,1338,neuron,CL:0000540,14675480
CL_basic_2014_02_21_Instance_60348,1235,1254,hippocampal neuron,CL:0002608,14723793
CL_basic_2014_02_21_core+extensions+nested_Instance_20290,1225,1229,type I pneumocyte,CL:0002062,15005800
CL_basic_2014_02_21_Instance_31087,1191,1223,type I pneumocyte,CL:0002062,15005800
CL_basic_2014_02_21_Instance_31091,1319,1331,type II pneumocyte,CL:0002063,15005800
CL_basic_2014_02_21_Instance_12125,67,76,germ cell,CL:0000586,15018652
CL_basic_2014_02_21_Instance_12127,131,141,germ cell,CL:0000586,15018652
CL_basic_2014_02_21_Instance_12131,459,468,germ cell,CL:0000586,15018652
CL_basic_2014_02_21_Instance_12133,518,527,germ cell,CL:0000586,15018652
CL_basic_2014_02_21_Instance_12137,739,749,germ cell,CL:0000586,15018652
CL_basic_2014_02_21_Instance_12141,1074,1083,germ cell,CL:0000586,15018652
CL_basic_2014_02_21_Instance_12145,1241,1251,germ cell,CL:0000586,15018652
CL_basic_2014_02_21_Instance_12147,1331,1341,germ cell,CL:0000586,15018652
CL_basic_2014_02_21_Instance_12151,1551,1561,germ cell,CL:0000586,15018652
CL_basic_2014_02_21_Instance_12241,306,327,primordial germ cell,CL:0000670,15018652
CL_basic_2014_02_21_Instance_12243,867,874,oocyte,CL:0000023,15018652
CL_basic_2014_02_21_Instance_12245,1281,1286,sperm,CL:0000019,15018652
CL_basic_2014_02_21_Instance_12247,1272,1276,egg cell,CL:0000025,15018652
CL_basic_2014_02_21_Instance_12251,1444,1447,egg cell,CL:0000025,15018652
CL_basic_2014_02_21_Instance_31174,572,592,embryonic stem cell,CL:0002322,15018652
