,StartIndex,EndIndex,MentionTextSegment,EntityID,PMID
organism_Instance_20000,30,35,Mus,NCBITaxon:10088,11319941
organism_Instance_20004,276,280,Mus,NCBITaxon:10088,11319941
organism_Instance_20008,857,864,Metazoa,NCBITaxon:33208,11319941
organism_Instance_20012,1476,1483,Metazoa,NCBITaxon:33208,11319941
organism_Instance_20409,45,49,Mus,NCBITaxon:10088,11532192
organism_Instance_20413,180,184,Mus,NCBITaxon:10088,11532192
organism_Instance_20417,195,202,Mammalia,NCBITaxon:40674,11532192
organism_Instance_20421,280,285,Mus,NCBITaxon:10088,11532192
organism_Instance_20425,503,508,Mus,NCBITaxon:10088,11532192
organism_Instance_20429,1007,1011,Mus,NCBITaxon:10088,11532192
organism_Instance_20433,1146,1151,Mus,NCBITaxon:10088,11532192
organism_Instance_20437,1414,1419,Mus,NCBITaxon:10088,11532192
organism_Instance_281582,1461,1468,species,NCBITaxon:species,11532192
organism_Instance_80086,1444,1450,Homo sapiens,NCBITaxon:9606,11532192
organism_Instance_21115,527,537,Eukaryota,NCBITaxon:2759,11597317
organism_Instance_21119,1357,1366,Mammalia,NCBITaxon:40674,11597317
organism_Instance_21166,24,29,Mus,NCBITaxon:10088,11604102
organism_Instance_21174,723,728,Mus,NCBITaxon:10088,11604102
organism_Instance_21178,840,845,Homo sapiens,NCBITaxon:9606,11604102
organism_Instance_21182,850,855,Mus,NCBITaxon:10088,11604102
organism_Instance_21186,939,944,Mus,NCBITaxon:10088,11604102
organism_Instance_21190,949,954,Homo sapiens,NCBITaxon:9606,11604102
organism_Instance_21194,1036,1043,Xenopus,NCBITaxon:8353,11604102
organism_Instance_21560,36,41,Mus,NCBITaxon:10088,11897010
organism_Instance_21564,484,489,Mus,NCBITaxon:10088,11897010
organism_Instance_21568,585,590,Homo sapiens,NCBITaxon:9606,11897010
organism_Instance_21572,595,600,Mus,NCBITaxon:10088,11897010
organism_Instance_21576,880,885,Homo sapiens,NCBITaxon:9606,11897010
organism_Instance_21580,932,938,Murinae,NCBITaxon:39107,11897010
organism_Instance_21584,1440,1445,Mus,NCBITaxon:10088,11897010
organism_Instance_21588,1506,1510,Mus,NCBITaxon:10088,11897010
organism_Instance_281590,1342,1349,species,NCBITaxon:species,11897010
organism_Instance_80462,110,116,Homo sapiens,NCBITaxon:9606,11897010
organism_Instance_80468,563,569,Homo sapiens,NCBITaxon:9606,11897010
organism_Instance_21824,25,29,Mus,NCBITaxon:10088,12079497
organism_Instance_21828,252,261,root,NCBITaxon:1,12079497
organism_Instance_21832,335,344,Scyphozoa,NCBITaxon:6142,12079497
organism_Instance_21836,388,393,Mus,NCBITaxon:10088,12079497
organism_Instance_21840,792,796,Mus,NCBITaxon:10088,12079497
organism_Instance_21844,1291,1295,Mus,NCBITaxon:10088,12079497
organism_Instance_90118,121,127,Metazoa,NCBITaxon:33208,12079497
organism_Instance_90125,345,362,Aequorea victoria,NCBITaxon:6100,12079497
organism_Instance_90133,1156,1166,Discosoma,NCBITaxon:86599,12079497
organism_Instance_22072,84,89,Mus,NCBITaxon:10088,12546709
organism_Instance_22076,209,215,Metazoa,NCBITaxon:33208,12546709
organism_Instance_22080,341,345,Mus,NCBITaxon:10088,12546709
organism_Instance_22084,638,642,Mus,NCBITaxon:10088,12546709
organism_Instance_22088,647,651,Mus,NCBITaxon:10088,12546709
organism_Instance_22092,767,771,Mus,NCBITaxon:10088,12546709
organism_Instance_22096,787,791,Mus,NCBITaxon:10088,12546709
organism_Instance_22100,964,968,Mus,NCBITaxon:10088,12546709
organism_Instance_22104,1427,1431,Mus,NCBITaxon:10088,12546709
organism_Instance_22108,1452,1456,Mus,NCBITaxon:10088,12546709
organism_Instance_22272,18,22,Mus,NCBITaxon:10088,12585968
organism_Instance_22276,1206,1210,Mus,NCBITaxon:10088,12585968
organism_Instance_22514,689,693,Mus,NCBITaxon:10088,12925238
organism_Instance_90374,129,134,Mus,NCBITaxon:10088,12925238
organism_Instance_130015,938,942,Takifugu,NCBITaxon:31032,14609438
organism_Instance_130022,947,952,Danio rerio,NCBITaxon:7955,14609438
organism_Instance_22750,676,681,Homo sapiens,NCBITaxon:9606,14609438
organism_Instance_22754,727,737,Eukaryota,NCBITaxon:2759,14609438
organism_Instance_22758,830,837,Macaca,NCBITaxon:9539,14609438
organism_Instance_22762,839,844,Mus,NCBITaxon:10088,14609438
organism_Instance_22766,846,849,Rattus,NCBITaxon:10114,14609438
organism_Instance_22770,851,854,Canis lupus familiaris,NCBITaxon:9615,14609438
organism_Instance_22774,860,863,Bos taurus,NCBITaxon:9913,14609438
organism_Instance_22778,969,974,Anura,NCBITaxon:8342,14609438
organism_Instance_22782,1026,1031,Homo sapiens,NCBITaxon:9606,14609438
organism_Instance_22786,1191,1200,root,NCBITaxon:1,14609438
organism_Instance_281596,492,499,species,NCBITaxon:species,14609438
organism_Instance_281598,738,745,species,NCBITaxon:species,14609438
organism_Instance_281704,1093,1096,species,NCBITaxon:species,14609438
organism_Instance_90463,279,285,Homo sapiens,NCBITaxon:9606,14609438
organism_Instance_90492,976,994,Xenopus tropicalis,NCBITaxon:8364,14609438
organism_Instance_90498,1081,1092,Pseudomonas,NCBITaxon:286,14609438
organism_Instance_23010,221,226,Mus,NCBITaxon:10088,14611657
organism_Instance_23014,343,348,Mus,NCBITaxon:10088,14611657
organism_Instance_23018,688,697,Mammalia,NCBITaxon:40674,14611657
organism_Instance_23022,774,779,Mus,NCBITaxon:10088,14611657
organism_Instance_23026,928,933,Mus,NCBITaxon:10088,14611657
organism_Instance_23498,381,385,Mus,NCBITaxon:10088,14675480
organism_Instance_23502,421,425,Mus,NCBITaxon:10088,14675480
organism_Instance_23510,1387,1396,Mammalia,NCBITaxon:40674,14675480
organism_Instance_23728,422,427,Mus,NCBITaxon:10088,14691534
organism_Instance_23732,1402,1407,Homo sapiens,NCBITaxon:9606,14691534
organism_Instance_120178,203,209,Homo sapiens,NCBITaxon:9606,14723793
organism_Instance_24304,46,51,Mus,NCBITaxon:10088,14723793
organism_Instance_24308,316,321,Mus,NCBITaxon:10088,14723793
organism_Instance_24312,339,344,Homo sapiens,NCBITaxon:9606,14723793
organism_Instance_24316,578,583,Mus,NCBITaxon:10088,14723793
organism_Instance_24320,685,690,Homo sapiens,NCBITaxon:9606,14723793
organism_Instance_24324,927,935,Bacteria,NCBITaxon:2,14723793
organism_Instance_24328,1537,1545,Bacteria,NCBITaxon:2,14723793
organism_Instance_281608,840,857,species,NCBITaxon:species,14723793
organism_Instance_281610,1383,1390,species,NCBITaxon:species,14723793
organism_Instance_24676,31,36,Mus,NCBITaxon:10088,14737183
organism_Instance_24680,82,88,Metazoa,NCBITaxon:33208,14737183
organism_Instance_24684,278,283,Mus,NCBITaxon:10088,14737183
organism_Instance_24692,406,410,Mus,NCBITaxon:10088,14737183
organism_Instance_24700,864,871,Metazoa,NCBITaxon:33208,14737183
organism_Instance_24712,1181,1188,Metazoa,NCBITaxon:33208,14737183
organism_Instance_281702,89,96,kingdom,NCBITaxon:kingdom,14737183
organism_Instance_25532,38,43,Mus,NCBITaxon:10088,15005800
organism_Instance_25536,170,179,Mammalia,NCBITaxon:40674,15005800
organism_Instance_25540,212,216,Mus,NCBITaxon:10088,15005800
organism_Instance_25544,293,298,Homo sapiens,NCBITaxon:9606,15005800
organism_Instance_25548,657,661,Mus,NCBITaxon:10088,15005800
organism_Instance_100000,94,98,Mus,NCBITaxon:10088,15018652
organism_Instance_25798,125,129,Mus,NCBITaxon:10088,15018652
organism_Instance_25802,566,571,Mus,NCBITaxon:10088,15018652
organism_Instance_25806,614,621,Metazoa,NCBITaxon:33208,15018652
organism_Instance_25810,681,688,Metazoa,NCBITaxon:33208,15018652
organism_Instance_25814,780,787,Metazoa,NCBITaxon:33208,15018652
organism_Instance_25818,1021,1026,Mus,NCBITaxon:10088,15018652
organism_Instance_25822,1167,1174,Mammalia,NCBITaxon:40674,15018652
organism_Instance_25826,1357,1364,Metazoa,NCBITaxon:33208,15018652
organism_Instance_25830,1376,1381,Diptera,NCBITaxon:7147,15018652
organism_Instance_140083,621,627,Homo sapiens,NCBITaxon:9606,15040800
organism_Instance_140088,718,724,Homo sapiens,NCBITaxon:9606,15040800
organism_Instance_140105,1047,1051,Mus,NCBITaxon:10088,15040800
organism_Instance_25942,2,7,Mus,NCBITaxon:10088,15040800
organism_Instance_25946,413,418,Embryophyta,NCBITaxon:3193,15040800
