,StartIndex,EndIndex,MentionTextSegment,EntityID,PMID
SO_2017_06_11_Instance_40989,58,62,QTL,SO:0000771,11319941
SO_2017_06_11_Instance_40991,344,349,gene,SO:0000704,11319941
SO_2017_06_11_Instance_40993,1121,1144,QTL,SO:0000771,11319941
SO_2017_06_11_Instance_40995,1146,1150,QTL,SO:0000771,11319941
SO_2017_06_11_Instance_19309,1513,1518,gene,SO:0000704,11532192
SO_2017_06_11_Instance_41299,24,35,gene,SO:0000704,11532192
SO_2017_06_11_Instance_41301,124,131,gene,SO:0000704,11532192
SO_2017_06_11_Instance_41303,259,270,gene,SO:0000704,11532192
SO_2017_06_11_Instance_41305,445,449,gene,SO:0000704,11532192
SO_2017_06_11_Instance_41307,793,799,allele,SO:0001023,11532192
SO_2017_06_11_Instance_41309,829,833,gene,SO:0000704,11532192
SO_2017_06_11_Instance_41311,918,922,gene,SO:0000704,11532192
SO_2017_06_11_Instance_41313,1125,1136,gene,SO:0000704,11532192
SO_2017_06_11_Instance_41315,1271,1278,gene,SO:0000704,11532192
SO_2017_06_11_Instance_170503,1257,1274,repeat_region,SO:0000657,11597317
SO_2017_06_11_Instance_23703,191,198,gene,SO:0000704,11597317
SO_2017_06_11_Instance_25167,1367,1376,orthologous_region,SO:0000855,11597317
SO_2017_06_11_Instance_25425,1061,1072,gene,SO:0000704,11597317
SO_2017_06_11_Instance_41513,142,146,gene,SO:0000704,11597317
SO_2017_06_11_Instance_41517,874,878,gene,SO:0000704,11597317
SO_2017_06_11_Instance_41527,1414,1419,gene,SO:0000704,11597317
SO_2017_06_11_Instance_10181,480,487,polypeptide_domain,SO:0000417,11604102
SO_2017_06_11_Instance_25169,1044,1054,orthologous_region,SO:0000855,11604102
SO_2017_06_11_Instance_41603,37,41,gene,SO:0000704,11604102
SO_2017_06_11_Instance_41609,736,740,gene,SO:0000704,11604102
SO_2017_06_11_Instance_41611,856,861,gene,SO:0000704,11604102
SO_2017_06_11_Instance_41613,875,882,genome,SO:0001026,11604102
SO_2017_06_11_Instance_41615,926,933,syntenic_region,SO:0005858,11604102
SO_2017_06_11_Instance_120543,1180,1196,endosomal_localization_signal,SO:0001529,11897010
SO_2017_06_11_Instance_120545,1170,1196,lysosomal_localization_signal,SO:0001530,11897010
SO_2017_06_11_Instance_130302,65,97,alternatively_spliced_transcript,SO:1001187,11897010
SO_2017_06_11_Instance_18051,632,639,syntenic,SO:0000860,11897010
SO_2017_06_11_Instance_25107,490,499,homologous_region,SO:0000853,11897010
SO_2017_06_11_Instance_27177,1116,1123,polypeptide_domain,SO:0000417,11897010
SO_2017_06_11_Instance_41947,49,53,gene,SO:0000704,11897010
SO_2017_06_11_Instance_41951,309,313,gene,SO:0000704,11897010
SO_2017_06_11_Instance_41955,601,606,gene,SO:0000704,11897010
SO_2017_06_11_Instance_41961,758,776,ORF,SO:0000236,11897010
SO_2017_06_11_Instance_41965,804,814,transcript,SO:0000673,11897010
SO_2017_06_11_Instance_41967,858,863,exon,SO:0000147,11897010
SO_2017_06_11_Instance_41969,903,913,transcript,SO:0000673,11897010
SO_2017_06_11_Instance_41981,1491,1502,transcript,SO:0000673,11897010
SO_2017_06_11_Instance_41983,1563,1567,gene,SO:0000704,11897010
SO_2017_06_11_Instance_18067,1190,1198,homologous,SO:0000857,12079497
SO_2017_06_11_Instance_42415,409,413,gene,SO:0000704,12079497
SO_2017_06_11_Instance_42417,484,488,gene,SO:0000704,12079497
SO_2017_06_11_Instance_42421,1498,1507,transgene,SO:0000902,12079497
SO_2017_06_11_Instance_42537,265,269,gene,SO:0000704,12546709
SO_2017_06_11_Instance_42539,714,719,gene,SO:0000704,12546709
SO_2017_06_11_Instance_24901,242,249,sequence_variant,SO:0001060,12925238
SO_2017_06_11_Instance_25351,333,340,sequence_variant,SO:0001060,12925238
SO_2017_06_11_Instance_25353,1552,1560,sequence_variant,SO:0001060,12925238
SO_2017_06_11_Instance_18073,1067,1075,homologous,SO:0000857,14609438
SO_2017_06_11_Instance_25175,663,672,orthologous_region,SO:0000855,14609438
SO_2017_06_11_Instance_30567,463,470,genome,SO:0001026,14609438
SO_2017_06_11_Instance_30575,694,701,genome,SO:0001026,14609438
SO_2017_06_11_Instance_33161,1316,1327,polypeptide_catalytic_motif,SO:0100019,14609438
SO_2017_06_11_Instance_42703,819,826,genome,SO:0001026,14609438
SO_2017_06_11_Instance_42891,17,40,EST,SO:0000345,14611657
SO_2017_06_11_Instance_42893,86,91,gene,SO:0000704,14611657
SO_2017_06_11_Instance_42895,425,448,EST,SO:0000345,14611657
SO_2017_06_11_Instance_42897,555,559,gene,SO:0000704,14611657
SO_2017_06_11_Instance_42899,583,591,promoter,SO:0000167,14611657
SO_2017_06_11_Instance_42901,647,651,gene,SO:0000704,14611657
SO_2017_06_11_Instance_42903,698,704,genome,SO:0001026,14611657
SO_2017_06_11_Instance_42905,997,1020,EST,SO:0000345,14611657
SO_2017_06_11_Instance_42907,1127,1131,gene,SO:0000704,14611657
SO_2017_06_11_Instance_42909,1155,1163,promoter,SO:0000167,14611657
SO_2017_06_11_Instance_42911,1263,1268,gene,SO:0000704,14611657
SO_2017_06_11_Instance_42913,1368,1378,transcript,SO:0000673,14611657
SO_2017_06_11_Instance_42915,1492,1496,gene,SO:0000704,14611657
SO_2017_06_11_Instance_20543,435,442,allele,SO:0001023,14624252
SO_2017_06_11_Instance_14445,1360,1368,sequence_variant,SO:0001060,14675480
SO_2017_06_11_Instance_44203,339,343,gene,SO:0000704,14675480
SO_2017_06_11_Instance_44205,373,377,gene,SO:0000704,14675480
