,StartIndex,EndIndex,MentionTextSegment,EntityID,PMID
UBERON_Instance_20000,36,44,striatum,UBERON:0002435,11319941
UBERON_Instance_30002,410,415,brain,UBERON:0000955,11319941
UBERON_Instance_30004,424,429,brain,UBERON:0000955,11319941
UBERON_Instance_30008,1341,1346,brain,UBERON:0000955,11319941
UBERON_Instance_30126,877,883,brain,UBERON:0000955,11319941
UBERON_Instance_30130,124,132,striatum,UBERON:0002435,11319941
UBERON_Instance_30132,239,247,striatum,UBERON:0002435,11319941
UBERON_Instance_30138,434,442,striatum,UBERON:0002435,11319941
UBERON_Instance_30140,661,669,striatum,UBERON:0002435,11319941
UBERON_Instance_30142,791,799,striatum,UBERON:0002435,11319941
UBERON_Instance_30144,895,902,striatum,UBERON:0002435,11319941
UBERON_Instance_30146,1178,1186,striatum,UBERON:0002435,11319941
UBERON_Instance_30148,1301,1309,striatum,UBERON:0002435,11319941
UBERON_Instance_40000,385,398,collection of basal ganglia,UBERON:0010011,11319941
UBERON_Instance_60036,5,11,eye,UBERON:0000970,11532192
UBERON_Instance_60038,155,161,eye,UBERON:0000970,11532192
UBERON_Instance_30586,776,782,breast,UBERON:0000310,11597317
UBERON_Instance_30588,845,851,breast,UBERON:0000310,11597317
UBERON_Instance_30590,981,987,breast,UBERON:0000310,11597317
UBERON_Instance_30592,1385,1391,breast,UBERON:0000310,11597317
UBERON_Instance_30594,113,119,breast,UBERON:0000310,11597317
UBERON_Instance_30620,574,580,testis,UBERON:0000473,11604102
UBERON_Instance_30622,1116,1122,testis,UBERON:0000473,11604102
UBERON_Instance_30624,1216,1222,testis,UBERON:0000473,11604102
UBERON_Instance_30626,1425,1431,testis,UBERON:0000473,11604102
UBERON_Instance_70000,246,256,nervous system,UBERON:0001016,11897010
UBERON_Instance_80002,261,275,eye,UBERON:0000970,11897010
UBERON_Instance_70040,0,9,embryo,UBERON:0000922,12079497
UBERON_Instance_70042,762,771,embryo,UBERON:0000922,12079497
UBERON_Instance_70044,839,848,embryo,UBERON:0000922,12079497
UBERON_Instance_70208,1044,1051,suture,UBERON:4200215,12546709
UBERON_Instance_70210,1109,1113,capsule of lens,UBERON:0001804,12546709
UBERON_Instance_70212,1261,1267,cortex,UBERON:0001851,12546709
UBERON_Instance_80116,1252,1260,capsule,UBERON:0003893,12546709
UBERON_Instance_80118,1212,1220,capsule,UBERON:0003893,12546709
UBERON_Instance_70690,380,389,embryo,UBERON:0000922,12585968
UBERON_Instance_70692,77,86,internal ear,UBERON:0001846,12585968
UBERON_Instance_70698,906,913,cochlea,UBERON:0001844,12585968
UBERON_Instance_70700,1090,1097,cochlea,UBERON:0001844,12585968
UBERON_Instance_70702,1159,1179,vestibular epithelium,UBERON:0006932,12585968
UBERON_Instance_70704,995,1023,vestibular epithelium,UBERON:0006932,12585968
UBERON_Instance_70706,1235,1263,vestibular epithelium,UBERON:0006932,12585968
UBERON_Instance_70708,1285,1298,apex of cochlea,UBERON:0002819,12585968
UBERON_Instance_70710,1372,1379,cochlea,UBERON:0001844,12585968
UBERON_Instance_70716,1563,1570,cochlea,UBERON:0001844,12585968
