concept_id,concept_name
C0019655,Histoplasmosis NOS
C0040508,Total hip replacement
C0234708,Increased intraocular pressure
C0234708,Intraocular pressure increased
C0742906,CRP increased
C0982164,"papaya ORAL TABLET,CHEWABLE"
C1141021,"papaya ORAL TABLET,CHEWABLE"
C0008209,chlorine
C0689863,oxandrolone 2.5 mg ORAL TABLET
C0017814,oxandrolone 2.5 mg ORAL TABLET
C0994900,morphine sulfate 8 mg/mL INJECTION SYRINGE (ML)
C1959616,morphine sulfate 8 mg/mL INJECTION SYRINGE (ML)
C1098320,olmesartan
C0031705,phosphorus
C0002335,alprostadil
C0033631,protein hydrolysate
C0036581,selenium
C0121772,haemophilus influenzae type b
C0298067,pirfenidone
C1273013,"VAGINAL CAPSULE, SOFT"
C3536965,sulfate ion
C0776948,"hydrocolloid dressing 6"" X 7"" TOPICAL BANDAGE"
C0013766,"hydrocolloid dressing 6"" X 7"" TOPICAL BANDAGE"
C0000981,acetazolamide
C0046237,hydroxypropyl betadex
C0028128,nitric oxide
C0001911,albendazole
C0340643,"Dissection of aorta, unspecified site"
C0040071,Thymectomy
C0019004,Hemodialysis
C0040508,Total hip replacement
C0033905,Administration of psychologic test
C0009806,Constipation
C0011882,Diabetes with neurological manifestations
C0023038,Laparotomy
C0524662,"Opioid type dependence, unspecified"
C0009691,"Congenital cataract, unspecified"
C0185188,Fasciotomy
C0194810,Radical prostatectomy
C0019655,"Histoplasmosis, unspecified"
C0019655,Histoplasmosis
C0036420,Circumscribed scleroderma
C0275551,Spontaneous bacterial peritonitis
C0037317,Sleep disturbances
C3714756,INTELLECTUAL DISABILITIES
C0040071,"Thymectomy, not otherwise specified"
C0192461,Replacement of gastrostomy tube
C0524662,Opioid type dependence
C1761613,Hyperemia of conjunctiva
C0037317,"Sleep disturbance, unspecified"
C0009806,"Constipation, unspecified"
C0007859,Cervicalgia
C0153446,"Malignant neoplasm of anus, unspecified site"
C0006849,Candidiasis of mouth
C2239176,Carcinoma liver
C0451615,Pain relief
C0001623,Adrenal insufficiency
C0340643,Aortic dissection
C0039446,Telangiectasis
C0018213,Graves' disease
C0001925,Albuminuria
C0006849,Oral moniliasis
C0263912,Rotator cuff syndrome
C0920424,Cancer surgery
C0009691,Cataract congenital
C1306620,Systolic blood pressure
C0035335,Retinoblastoma NOS
C3714756,Intellectual development disorder
C3714756,Intellectual disabilities
C0019004,Haemodialysed
C0035335,Retinoblastoma
C0014859,Oesophageal neoplasm NOS
C0035304,Retinal degeneration
C0006849,Thrush oral
C0039101,Synovioma
C0001623,Adrenal insufficiency NOS
C0009806,Constipation
C0403677,Bladder injury NOS
C0234708,Ocular tension increased
C0015695,Liver fatty change
C0742906,C-reactive protein increased
C0019004,Hemodialyzed
C2239176,Carcinoma of liver
C3671887,Urinary sodium increased
C0006849,Oral muguet
C0015695,Liver fatty infiltration
C3888521,Autoimmune demyelinating disease
C0006849,Candida stomatitis
C0700225,Increased serum creatinine
C0001623,Hypofunction adrenal
C0009691,"Congenital cataract, unspecified"
C1735596,Supplementation therapy
C0014859,Esophageal neoplasm NOS
C0019004,Hemodialysis
C3671887,Sodium urine increased
C0031039,Pericardial effusion
C0019655,"Histoplasmosis, unspecified"
C0007859,Neck pain
C0024121,Lung neoplasm
C0040560,Congenital toxoplasmosis
C0198482,Abdominal operation NOS
C1761613,Conjunctival injection
C0006849,Candidiasis of mouth
C3853727,Tobacco user
C0039743,Thanatophoric dwarfism
C0004095,Asthenopia
C0334517,Spermatocytic seminoma
C3714756,Intellectual disability
C0006849,Oral candidiasis
C1761613,Conjunctival hyperemia
C0275551,Spontaneous bacterial peritonitis
C1306620,Blood pressure systolic
C0019655,Infection histoplasmosis
C0524662,"Opioid type dependence, unspecified use"
C0004095,Tired eye
C0001623,Insufficiency adrenal
C0004095,Eye tired
C0018213,Basedow's disease
C0035304,Degeneration retinal
