,PMID,topic_number,topic_probs,topic_keywords
0,25763772,52,1.0,"[('pneumonia', 0.10899471516892101), ('antimicrobi', 0.06075587138174416), ('isol', 0.05936598721098731), ('hmkp', 0.049176095067161196), ('infect', 0.04822027604442783), ('ntpn', 0.03938523362222319), ('cf', 0.039370014223995976), ('k2', 0.03544671026000087), ('capsular', 0.034472569261720445), ('k1', 0.03404498889265006)]"
1,25847295,57,1.0,"[('zinc', 0.061919108507894324), ('cell', 0.06069499794961885), ('apoptosi', 0.056627959210381745), ('nonylphenol', 0.05475246600397903), ('naf', 0.054073344020243067), ('induc', 0.05071871973671314), ('mitochondria', 0.04604120323618426), ('zn', 0.04568948244258517), ('diethoxyl', 0.042895479202836595), ('cll', 0.0398980057917783)]"
2,26316050,2,1.0,"[('nanoparticl', 0.034116459267757006), ('surfac', 0.02579794889348978), ('coat', 0.01778056479118233), ('properti', 0.015137586582062731), ('np', 0.014991456588643927), ('releas', 0.014864083035943831), ('cell', 0.01471567693457595), ('applic', 0.014483927278632933), ('fluoresc', 0.014240755954564874), ('prepar', 0.013679356715981531)]"
3,26406200,4,1.0,"[('fractur', 0.023671449030889097), ('knee', 0.02236056052070207), ('bone', 0.020303127247812074), ('spine', 0.018902100007919), ('implant', 0.017050469693249814), ('patient', 0.01701045432197622), ('surgeri', 0.016043213722070692), ('score', 0.016010509464311415), ('pain', 0.014843556972872679), ('tendon', 0.014572448895540808)]"
4,26424709,-1,0.0,"[('patient', 0.011014845575233719), ('studi', 0.009771637174557821), ('effect', 0.007677471994544871), ('associ', 0.007381746090545033), ('differ', 0.006665850417589141), ('group', 0.0066161762702479365), ('cell', 0.006613546820261417), ('result', 0.006554895306925624), ('increas', 0.006524433142001639), ('activ', 0.0064453055047591695)]"
5,26476440,-1,0.0,"[('patient', 0.011014845575233719), ('studi', 0.009771637174557821), ('effect', 0.007677471994544871), ('associ', 0.007381746090545033), ('differ', 0.006665850417589141), ('group', 0.0066161762702479365), ('cell', 0.006613546820261417), ('result', 0.006554895306925624), ('increas', 0.006524433142001639), ('activ', 0.0064453055047591695)]"
6,26797704,10,1.0,"[('parent', 0.05694254302071549), ('depress', 0.039053571276227626), ('child', 0.0381320370561454), ('children', 0.03383277096981788), ('anxieti', 0.030973432215638304), ('youth', 0.030491112750468573), ('mental', 0.02643589833765712), ('famili', 0.026399098806170865), ('young', 0.024005880907785222), ('symptom', 0.022000856405201)]"
7,26864880,3,0.7391527361145666,"[('speci', 0.04541899474237719), ('forest', 0.01986315689650549), ('popul', 0.01879033701326042), ('bird', 0.0155259175762611), ('climat', 0.01385799346446381), ('plant', 0.013240451447144554), ('divers', 0.013054858242023333), ('genet', 0.011344986058897222), ('tree', 0.01119505679918582), ('phylogenet', 0.0104014699784837)]"
8,26867927,7,0.5465219272751833,"[('ventricular', 0.04789619470390349), ('cardiac', 0.037809448626229904), ('patient', 0.030778662254215897), ('lv', 0.0269980633464883), ('left', 0.023496973677944028), ('heart', 0.02289331649920333), ('arrhythmia', 0.01848855065040759), ('cardiomyopathi', 0.016118020103169452), ('alarm', 0.01573848111395583), ('echocardiographi', 0.015633823920126695)]"
9,26876532,-1,0.0,"[('patient', 0.011014845575233719), ('studi', 0.009771637174557821), ('effect', 0.007677471994544871), ('associ', 0.007381746090545033), ('differ', 0.006665850417589141), ('group', 0.0066161762702479365), ('cell', 0.006613546820261417), ('result', 0.006554895306925624), ('increas', 0.006524433142001639), ('activ', 0.0064453055047591695)]"
