,PMID,topic_number,topic_probs,topic_keywords
0,25763772,-1,0.0,"[('the', 0.013393350396423203), ('of', 0.013229258249195705), ('and', 0.012924338404215108), ('in', 0.011961798872556275), ('to', 0.01154081283097149), ('with', 0.010079759158206514), ('for', 0.009843101802945089), ('were', 0.009227416479646729), ('was', 0.008787888540943018), ('is', 0.007964598628756902)]"
1,25847295,57,1.0,"[('apoptosis', 0.057116949500749074), ('induced', 0.03614261259430765), ('cell', 0.0331402437608924), ('cells', 0.03083287029429222), ('hepg2', 0.030050039663628837), ('mitochondrial', 0.02975508070670284), ('nonylphenol', 0.029691736903351498), ('naf', 0.02934782719085791), ('fluoride', 0.02605320138492774), ('mitochondria', 0.025439317680222034)]"
2,26316050,52,1.0,"[('tio2', 0.029766378417573163), ('films', 0.026447911127460342), ('microgels', 0.02518693558410037), ('gelma', 0.02377678847908008), ('applications', 0.023592069122271804), ('tissue', 0.021967263096790587), ('nanocomposites', 0.021717059683538677), ('composite', 0.02044029584511833), ('macrostructures', 0.01962002434896266), ('nha', 0.01962002434896266)]"
3,26406200,10,1.0,"[('walking', 0.02127605770584684), ('players', 0.02074628658842549), ('gait', 0.020196404342055423), ('during', 0.017243592505227317), ('knee', 0.016689825868465687), ('speed', 0.016237385231750872), ('muscle', 0.015709627939042216), ('rehabilitation', 0.015056363243067345), ('training', 0.014718130770699275), ('the', 0.014701016407417892)]"
4,26424709,-1,0.0,"[('the', 0.013393350396423203), ('of', 0.013229258249195705), ('and', 0.012924338404215108), ('in', 0.011961798872556275), ('to', 0.01154081283097149), ('with', 0.010079759158206514), ('for', 0.009843101802945089), ('were', 0.009227416479646729), ('was', 0.008787888540943018), ('is', 0.007964598628756902)]"
5,26476440,0,1.0,"[('care', 0.01661404121949472), ('health', 0.01653035088895527), ('and', 0.014253381261066646), ('to', 0.01357081811249888), ('the', 0.01287944443774443), ('students', 0.012650658491262469), ('of', 0.012619649430654406), ('their', 0.010728823334311785), ('in', 0.010548218670504633), ('with', 0.010418547545563666)]"
6,26797704,0,1.0,"[('care', 0.01661404121949472), ('health', 0.01653035088895527), ('and', 0.014253381261066646), ('to', 0.01357081811249888), ('the', 0.01287944443774443), ('students', 0.012650658491262469), ('of', 0.012619649430654406), ('their', 0.010728823334311785), ('in', 0.010548218670504633), ('with', 0.010418547545563666)]"
7,26864880,-1,0.0,"[('the', 0.013393350396423203), ('of', 0.013229258249195705), ('and', 0.012924338404215108), ('in', 0.011961798872556275), ('to', 0.01154081283097149), ('with', 0.010079759158206514), ('for', 0.009843101802945089), ('were', 0.009227416479646729), ('was', 0.008787888540943018), ('is', 0.007964598628756902)]"
8,26867927,15,0.9548655003853176,"[('coronary', 0.02406145825484359), ('patients', 0.02311717222954238), ('dose', 0.01811653448186393), ('atrial', 0.01724227723799188), ('af', 0.016673594970125438), ('fibrillation', 0.015048025558286701), ('with', 0.014276789646590377), ('in', 0.012997657332415107), ('of', 0.012003799873041954), ('was', 0.011912089939428884)]"
9,26876532,-1,0.0,"[('the', 0.013393350396423203), ('of', 0.013229258249195705), ('and', 0.012924338404215108), ('in', 0.011961798872556275), ('to', 0.01154081283097149), ('with', 0.010079759158206514), ('for', 0.009843101802945089), ('were', 0.009227416479646729), ('was', 0.008787888540943018), ('is', 0.007964598628756902)]"
