,topic_number,topic_keywords
0,0,"[('effect', 0.01), ('temperatur', 0.009), ('exposur', 0.008), ('increas', 0.007), ('speci', 0.007), ('studi', 0.007), ('air', 0.007), ('chang', 0.006), ('concentr', 0.006), ('differ', 0.006)]"
1,1,"[('studi', 0.01), ('clinic', 0.007), ('measur', 0.007), ('disord', 0.006), ('develop', 0.005), ('sleep', 0.005), ('assess', 0.004), ('chang', 0.004), ('correl', 0.004), ('model', 0.004)]"
2,2,"[('method', 0.008), ('studi', 0.008), ('effect', 0.008), ('sampl', 0.005), ('result', 0.005), ('compar', 0.004), ('metabol', 0.004), ('system', 0.004), ('control', 0.004), ('dose', 0.004)]"
3,3,"[('intak', 0.011), ('pd', 0.007), ('differ', 0.005), ('control', 0.005), ('knee', 0.004), ('individu', 0.004), ('studi', 0.004), ('imag', 0.004), ('fat', 0.004), ('healthi', 0.004)]"
4,4,"[('isol', 0.008), ('infect', 0.008), ('studi', 0.008), ('speci', 0.008), ('group', 0.007), ('risk', 0.005), ('differ', 0.005), ('antimicrobi', 0.005), ('strain', 0.004), ('analysi', 0.004)]"
5,5,"[('cell', 0.023), ('activ', 0.018), ('induc', 0.013), ('mice', 0.011), ('effect', 0.011), ('increas', 0.01), ('express', 0.009), ('inhibit', 0.007), ('respons', 0.007), ('result', 0.007)]"
6,6,"[('cell', 0.042), ('express', 0.019), ('tumor', 0.016), ('cancer', 0.013), ('gene', 0.008), ('tissu', 0.007), ('target', 0.007), ('studi', 0.007), ('differenti', 0.006), ('effect', 0.005)]"
7,7,"[('studi', 0.007), ('gene', 0.006), ('rate', 0.005), ('infect', 0.005), ('effect', 0.005), ('associ', 0.005), ('popul', 0.005), ('result', 0.005), ('model', 0.004), ('group', 0.004)]"
8,8,"[('diseas', 0.014), ('patient', 0.013), ('risk', 0.012), ('factor', 0.008), ('smoke', 0.007), ('cardiovascular', 0.006), ('coronari', 0.005), ('effect', 0.005), ('treatment', 0.004), ('fractur', 0.004)]"
9,9,"[('protein', 0.012), ('structur', 0.01), ('bind', 0.007), ('function', 0.007), ('model', 0.006), ('interact', 0.006), ('studi', 0.005), ('sequenc', 0.005), ('complex', 0.005), ('approach', 0.005)]"
10,10,"[('studi', 0.009), ('cell', 0.007), ('differ', 0.006), ('result', 0.006), ('function', 0.004), ('effect', 0.004), ('femor', 0.004), ('neural', 0.004), ('show', 0.004), ('evalu', 0.004)]"
11,11,"[('patient', 0.026), ('p', 0.018), ('associ', 0.016), ('group', 0.013), ('studi', 0.013), ('level', 0.013), ('age', 0.011), ('95', 0.01), ('risk', 0.009), ('diseas', 0.007)]"
12,12,"[('health', 0.016), ('studi', 0.012), ('particip', 0.008), ('patient', 0.008), ('group', 0.007), ('children', 0.007), ('intervent', 0.006), ('data', 0.005), ('year', 0.005), ('improv', 0.005)]"
13,13,"[('imag', 0.01), ('ct', 0.009), ('studi', 0.006), ('effect', 0.005), ('pain', 0.005), ('arteri', 0.005), ('p', 0.005), ('compar', 0.004), ('accuraci', 0.004), ('perform', 0.004)]"
14,14,"[('treatment', 0.011), ('patient', 0.008), ('control', 0.005), ('chronic', 0.005), ('effect', 0.005), ('lead', 0.005), ('studi', 0.005), ('neuron', 0.004), ('chang', 0.004), ('mice', 0.004)]"
15,15,"[('gene', 0.02), ('studi', 0.009), ('polymorph', 0.007), ('express', 0.006), ('associ', 0.006), ('treatment', 0.006), ('result', 0.006), ('group', 0.005), ('genotyp', 0.005), ('show', 0.005)]"
16,16,"[('cancer', 0.035), ('studi', 0.015), ('women', 0.01), ('breast', 0.009), ('associ', 0.008), ('differ', 0.007), ('patient', 0.006), ('prostat', 0.006), ('95', 0.006), ('identifi', 0.005)]"
17,17,"[('cell', 0.009), ('neuron', 0.009), ('increas', 0.007), ('effect', 0.006), ('rat', 0.006), ('express', 0.006), ('brain', 0.005), ('studi', 0.005), ('activ', 0.005), ('show', 0.005)]"
18,18,"[('patient', 0.053), ('surgeri', 0.01), ('studi', 0.01), ('year', 0.009), ('case', 0.009), ('outcom', 0.009), ('treatment', 0.008), ('group', 0.008), ('complic', 0.008), ('clinic', 0.007)]"
19,19,"[('strain', 0.009), ('acid', 0.008), ('activ', 0.007), ('studi', 0.007), ('show', 0.006), ('isol', 0.006), ('gene', 0.006), ('cell', 0.006), ('product', 0.005), ('compound', 0.005)]"
20,20,"[('imag', 0.021), ('patient', 0.017), ('studi', 0.006), ('method', 0.005), ('compar', 0.005), ('brain', 0.005), ('clinic', 0.004), ('improv', 0.004), ('measur', 0.004), ('isol', 0.004)]"
