,topic_number,topic_keywords
0,0,"[('activ', '0.009'), ('protein', '0.008'), ('cell', '0.007'), ('result', '0.006'), ('studi', '0.006'), ('effect', '0.005'), ('express', '0.005'), ('select', '0.005'), ('bind', '0.005'), ('differ', '0.005')]"
1,1,"[('women', '0.014'), ('associ', '0.014'), ('age', '0.013'), ('studi', '0.012'), ('patient', '0.011'), ('95', '0.010'), ('year', '0.010'), ('cancer', '0.010'), ('mortal', '0.009'), ('risk', '0.009')]"
2,2,"[('sampl', '0.008'), ('studi', '0.007'), ('gene', '0.006'), ('effect', '0.006'), ('result', '0.005'), ('protein', '0.005'), ('method', '0.005'), ('product', '0.005'), ('infect', '0.004'), ('cultur', '0.004')]"
3,3,"[('cell', '0.032'), ('express', '0.008'), ('protein', '0.007'), ('target', '0.007'), ('gene', '0.006'), ('sequenc', '0.006'), ('genom', '0.006'), ('immun', '0.006'), ('studi', '0.005'), ('viru', '0.005')]"
4,4,"[('cell', '0.012'), ('induc', '0.008'), ('effect', '0.007'), ('activ', '0.007'), ('infect', '0.006'), ('model', '0.005'), ('increas', '0.005'), ('plant', '0.005'), ('express', '0.005'), ('studi', '0.005')]"
5,5,"[('diet', '0.011'), ('group', '0.010'), ('studi', '0.008'), ('effect', '0.006'), ('increas', '0.006'), ('mice', '0.006'), ('p', '0.005'), ('patient', '0.005'), ('rat', '0.005'), ('decreas', '0.004')]"
6,6,"[('patient', '0.020'), ('studi', '0.015'), ('associ', '0.007'), ('group', '0.007'), ('level', '0.007'), ('review', '0.007'), ('effect', '0.006'), ('p', '0.005'), ('risk', '0.005'), ('95', '0.005')]"
7,7,"[('associ', '0.019'), ('p', '0.016'), ('patient', '0.013'), ('level', '0.012'), ('risk', '0.012'), ('diabet', '0.011'), ('diseas', '0.010'), ('studi', '0.010'), ('factor', '0.008'), ('95', '0.007')]"
8,8,"[('cancer', '0.022'), ('tumor', '0.016'), ('cell', '0.013'), ('express', '0.011'), ('imag', '0.010'), ('gene', '0.009'), ('tissu', '0.008'), ('breast', '0.008'), ('patient', '0.007'), ('detect', '0.007')]"
9,9,"[('disord', '0.012'), ('patient', '0.011'), ('studi', '0.010'), ('effect', '0.006'), ('result', '0.005'), ('differ', '0.005'), ('case', '0.005'), ('diseas', '0.004'), ('control', '0.004'), ('develop', '0.004')]"
10,10,"[('patient', '0.017'), ('group', '0.013'), ('studi', '0.008'), ('p', '0.007'), ('effect', '0.006'), ('increas', '0.005'), ('chang', '0.005'), ('air', '0.005'), ('ventricular', '0.005'), ('year', '0.004')]"
11,11,"[('patient', '0.044'), ('studi', '0.009'), ('diseas', '0.009'), ('clinic', '0.008'), ('treatment', '0.007'), ('p', '0.006'), ('hospit', '0.006'), ('year', '0.006'), ('rate', '0.005'), ('evalu', '0.005')]"
12,12,"[('express', '0.008'), ('acid', '0.007'), ('product', '0.005'), ('protein', '0.005'), ('increas', '0.005'), ('metabolit', '0.005'), ('condit', '0.004'), ('stress', '0.004'), ('studi', '0.004'), ('activ', '0.004')]"
13,13,"[('activ', '0.010'), ('brain', '0.009'), ('function', '0.008'), ('gene', '0.007'), ('strain', '0.007'), ('studi', '0.007'), ('interact', '0.006'), ('neuron', '0.006'), ('effect', '0.005'), ('genet', '0.004')]"
14,14,"[('group', '0.015'), ('studi', '0.011'), ('p', '0.009'), ('differ', '0.008'), ('children', '0.007'), ('control', '0.006'), ('compar', '0.006'), ('score', '0.005'), ('effect', '0.005'), ('age', '0.005')]"
15,15,"[('health', '0.015'), ('studi', '0.013'), ('intervent', '0.009'), ('children', '0.007'), ('parent', '0.006'), ('associ', '0.006'), ('commun', '0.006'), ('social', '0.006'), ('cognit', '0.006'), ('year', '0.005')]"
16,16,"[('cell', '0.024'), ('activ', '0.014'), ('effect', '0.009'), ('studi', '0.007'), ('increas', '0.006'), ('express', '0.006'), ('result', '0.006'), ('show', '0.006'), ('induc', '0.006'), ('rat', '0.006')]"
17,17,"[('health', '0.021'), ('data', '0.011'), ('research', '0.009'), ('studi', '0.009'), ('approach', '0.008'), ('inform', '0.008'), ('medic', '0.007'), ('nurs', '0.007'), ('provid', '0.007'), ('student', '0.006')]"
18,18,"[('cell', '0.012'), ('increas', '0.007'), ('temperatur', '0.007'), ('surfac', '0.007'), ('concentr', '0.006'), ('respons', '0.006'), ('effect', '0.006'), ('mitochondri', '0.005'), ('activ', '0.005'), ('result', '0.005')]"
19,19,"[('patient', '0.024'), ('studi', '0.011'), ('group', '0.010'), ('risk', '0.008'), ('diseas', '0.007'), ('associ', '0.006'), ('p', '0.006'), ('surgeri', '0.006'), ('increas', '0.006'), ('clinic', '0.006')]"
20,20,"[('patient', '0.033'), ('case', '0.012'), ('complic', '0.008'), ('treatment', '0.008'), ('surgeri', '0.007'), ('clinic', '0.007'), ('outcom', '0.007'), ('bone', '0.006'), ('studi', '0.006'), ('procedur', '0.006')]"
