,PMID,Type,Content,MaxLine
0,11319941,t,"Complex trait analysis of the mouse striatum: independent QTLs modulate volume and neuron number
",
1,11319941,a,"
Abstract

Background

The striatum plays a pivotal role in modulating motor activity and higher cognitive function. We analyzed variation in striatal volume and neuron number in mice and initiated a complex trait analysis to discover polymorphic genes that modulate the structure of the basal ganglia.

Results

Brain weight, brain and striatal volume, neuron-packing density and number were estimated bilaterally using unbiased stereological procedures in five inbred strains (A/J, C57BL/6J, DBA/2J, BALB/cJ, and BXD5) and an F2 intercross between A/J and BXD5. Striatal volume ranged from 20 to 37 mm3. Neuron-packing density ranged from approximately 50,000 to 100,000 neurons/mm3, and the striatal neuron population ranged from 1.4 to 2.5 million. Inbred animals with larger brains had larger striata but lower neuron-packing density resulting in a narrow range of average neuron populations. In contrast, there was a strong positive correlation between volume and neuron number among intercross progeny. We mapped two quantitative trait loci (QTLs) with selective effects on striatal architecture. Bsc10a maps to the central region of Chr 10 (LRS of 17.5 near D10Mit186) and has intense effects on striatal volume and moderate effects on brain volume. Stnn19a maps to distal Chr 19 (LRS of 15 at D19Mit123) and is associated with differences of up to 400,000 neurons among animals.

Conclusion

We have discovered remarkable numerical and volumetric variation in the mouse striatum, and we have been able to map two QTLs that modulate independent anatomic parameters.

",1672.0
2,11532192,t,"Intraocular pressure in genetically distinct mice: an update and strain survey
",
3,11532192,a,"
Abstract

Background

Little is known about genetic factors affecting intraocular pressure (IOP) in mice and other mammals. The purpose of this study was to determine the IOPs of genetically distinct mouse strains, assess the effects of factors such as age, sex and time of day on IOP in specific strain backgrounds, and to assess the effects of specific candidate gene mutations on IOP.

Results

Based on over 30 studied mouse strains, average IOP ranges from approximately 10 to 20 mmHg. Gender does not typically affect IOP and aging results in an IOP decrease in some strains. Most tested strains exhibit a diurnal rhythm with IOP being the highest during the dark period of the day. Homozygosity for a null allele of the carbonic anhydrase II gene (Car2n) does not alter IOP while homozygosity for a mutation in the leptin receptor gene (Leprdb) that causes obesity and diabetes results in increased IOP. Albino C57BL/6J mice homozygous for a tyrosinase mutation (Tyrc-2J) have higher IOPs than their pigmented counterparts.

Conclusions

Genetically distinct mouse strains housed in the same environment have a broad range of IOPs. These IOP differences are likely due to interstrain genetic differences that create a powerful resource for studying the regulation of IOP. Age, time of day, obesity and diabetes have effects on mouse IOP similar to those in humans and other species. Mutations in two of the assessed candidate genes (Lepr and Tyr) result in increased IOP. These studies demonstrate that mice are a practical and powerful experimental system to study the genetics of IOP regulation and disease processes that raise IOP to harmful levels.

",1741.0
4,11597317,t,"BRCA2 and homologous recombination
",
5,11597317,a,"
Abstract

Two recent papers provide new evidence relevant to the role of the breast cancer susceptibility gene BRCA2 in DNA repair. Moynahan et al provide genetic data indicating a requirement for BRCA2 in homology-dependent (recombinational) repair of DNA double-strand breaks. The second paper, by Davies et al, begins to address the mechanism through which BRCA2 makes its contribution to recombinational repair. BRCA2 appears to function in recombination via interactions with the major eukaryotic recombinase RAD51 [1,2,3]. We briefly review the context in which the two studies were carried out, we comment on the results presented, and we discuss models designed to account for the role of BRCA2 in RAD51–mediated repair.
",765.0
6,11604102,t,"Characterization of the mouse Dazap1 gene encoding an RNA-binding protein that interacts with infertility factors DAZ and DAZL
",
7,11604102,a,"
Abstract

Background

DAZAP1 (DAZ Associated Protein 1) was originally identified by a yeast two-hybrid system through its interaction with a putative male infertility factor, DAZ (Deleted in Azoospermia). In vitro, DAZAP1 interacts with both the Y chromosome-encoded DAZ and an autosome-encoded DAZ-like protein, DAZL. DAZAP1 contains two RNA-binding domains (RBDs) and a proline-rich C-terminal portion, and is expressed most abundantly in the testis. To understand the biological function of DAZAP1 and the significance of its interaction with DAZ and DAZL, we isolated and characterized the mouse Dazap1 gene, and studied its expression and the subcellular localization of its protein product.

Results

The human and mouse genes have similar genomic structures and map to syntenic chromosomal regions. The mouse and human DAZAP1 proteins share 98% identity and their sequences are highly similar to the Xenopus orthologue Prrp, especially in the RBDs. Dazap1 is expressed throughout testis development. Western blot detects a single 45 kD DAZAP1 protein that is most abundant in the testis. Although a majority of DAZAP1 is present in the cytoplasmic fraction, they are not associated with polyribosomes.

Conclusions

DAZAP1 is evolutionarily highly conserved. Its predominant expression in testes suggests a role in spermatogenesis. Its subcellular localization indicates that it is not directly involved in mRNA translation.

",1562.0
8,11897010,t,"Cloning and characterization of the mouse Mcoln1 gene reveals an alternatively spliced transcript not seen in humans
",
9,11897010,a,"
Abstract

Background

Mucolipidosis type IV (MLIV) is an autosomal recessive lysosomal storage disorder characterized by severe neurologic and ophthalmologic abnormalities. Recently the MLIV gene, MCOLN1, has been identified as a new member of the transient receptor potential (TRP) cation channel superfamily. Here we report the cloning and characterization of the mouse homologue, Mcoln1, and report a novel splice variant that is not seen in humans.

Results

The human and mouse genes display a high degree of synteny. Mcoln1 shows 91% amino acid and 86% nucleotide identity to MCOLN1. Also, Mcoln1 maps to chromosome 8 and contains an open reading frame of 580 amino acids, with a transcript length of approximately 2 kb encoded by 14 exons, similar to its human counterpart. The transcript that results from murine specific alternative splicing encodes a 611 amino acid protein that differs at the c-terminus.

Conclusions

Mcoln1 is highly similar to MCOLN1, especially in the transmembrane domains and ion pore region. Also, the late endosomal/lysosomal targeting signal is conserved, supporting the hypothesis that the protein is localized to these vesicle membranes. To date, there are very few reports describing species-specific splice variants. While identification of Mcoln1 is crucial to the development of mouse models for MLIV, the fact that there are two transcripts in mice suggests an additional or alternate function of the gene that may complicate phenotypic assessment.

",1612.0
